id,title,price,brand,Combined_raiska,Combined_istrizaine,Combined_operacine
19,"Televizorius|TCL|32""|Išmanusis|1920x1080|Belaidis LAN|Bluetooth|Android TV|Juodas|32S5400AF",152.98,TCL,Full HD,32 32'',Android Android TV
20,"Televizorius eSTAR LED TV 24""/61cm LEDTV24D5T2 Juodas",122.99,,HD Ready,24,Neturi
21,Televizorius PHILIPS 43PUS8359/12,359,Philips,Ultra HD,43 inch / 108 cm,
22,TCL 85 C855 – 4K QD mini LED „Google“ televizorius,2275.42,TCL,4K,85,Google TV
23,„Philips 55 PUS8309“ – 4K LED „Ambilight“ televizorius,475.99,Philips,"4K

3840 x 2160",55,
24,Televizorius KIVI 75U760QB,719.99,Kivi,"4K
3840 x 2160 3840x2160","75 75"" 75""",
25,Nvox Televizorius przenośny turistinis automobilinis led 8cali,65.99,,800 x 480,8,Neturi
26,SAMSUNG QE85Q80DATXXH 85 colių televizorius,1555,Samsung,4K,216 cm (85 coliai),Tizenas
27,Philips PUS8108 55 4K LED Ambilight televizorius,455.99,Philips,4K,55,
28,Philips LED televizorius | 55PUS7609/12 | 55 | Smart TV | Titan OS | 4K UHD | Antracito pilka,399,Philips,3840 x 2160,"55""",
29,"Philips 4K UHD LED išmanusis televizorius 65 colių 65PUS7609/12 , 3840x2160p HDR10+ 3xHDMI 2xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 20W",529,Philips,"3840 x 2160

4K",65,
30,MANTA Televizorius 22 cale 22LFN123D,110.28,,Full HD,22,
31,Televizorius Samsung UE75DU7172UXXH,663,Samsung,4K,"75 75"" 40 - 43",Tizen Tizen™
32,„Philips The One 43 PUS8949“ – 4K LED „Ambilight“ televizorius,519.99,Philips,"4K

3840 x 2160",8949,
33,„Philips The One 75 PUS8949“ – 4K LED „Ambilight“ televizorius,1039.99,Philips,"4K

3840 x 2160",8949,
34,Televizorius KIVI 55U760QW,385.99,Kivi,"3840 x 2160
4K 3840x2160","55 55"" 55""",
35,Televizorius Samsung QE55S95CATXXH,1299,,3840 x 2160,55,Tizen
36,SAMSUNG QE65LS03DAUXXH 65 colių televizorius,999,Samsung,4K,164 cm (65 coliai),Tizenas
37,Televizorius Kiano Slim 40 DLED 40 Full HD,179,Kiano,Full HD,"40 40"" 40 - 43",Android Android
38,Philips 4K LED televizorius | 65PUS7409/12 | 65 | Smart TV | Google TV | UHD | Juodas,529,Philips,4K,65,
39,Televizorius PHILIPS 55PML8709/12,499,Philips,4K,55,
40,"Televizorius Philips 4K UHD LED Smart TV with HDR 55PUS7657/12 55"" (139 cm), Smart TV, 4K UHD LED, 3840 x 2160, Wi-Fi (Ekspozicinė prekė)",399,Philips,"3840 x 2160

4K",55,
41,Philips LED televizorius | 55PUS7409/12 | 55 | Smart TV | GOOGLE TV | 4K UHD,419,Philips,"3840 x 2160

4K",55,
42,Toshiba Televizorius led 40 cali 40la3263dg,249,Toshiba,Full HD,40,Android
43,"Televizorius eSTAR LED TV 22""/56cm LEDTV22R2T2 Juodas",111.13,eStar,Full HD,22 22'' 20 - 26,Nėra
44,Televizorius Sony | KD65X75WL | 65 colių (164 cm) | Android | QFHD,830.90,Sony,4K,"65 65"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
45,"„Xoro PTL 1050 V2“, 10,1 colio (25,6 cm) DVB-T2 mini televizorius / „Freenet“",189.99,Xoro,1024 x 600 (WSVGA) 1024 x 600,"25 cm (10,1 colio) 10",
46,SAMSUNG televizorius Neo QLED 65 colių QE65QN95CAT,1879.03,Samsung,UHD 4K (3840 x 2160),65 163,Tizen
47,"Televizorius|THOMSON|55""|4K/Smart|QLED|3840x2160|Bluetooth|Google TV|55QG5C14",459.99,Thomson,UHD 3840 x 2160,55 55,„Google TV“ / „Android 12“.
48,Televizorius SONY LCD XR75X90LAEP (Pažeista pakuotė),1555,Sony,"4K
3840 x 2160",75,Android
49,"Televizorius|PANASONIC|55""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|TX-55MZ800E",1209.99,Panasonic,4K,139 cm (55 colių),Google TV
50,Televizorius Hyundai FLP40T456,205.99,Hyundai,Full HD,100 cm (40 colių),pritaikyta OS
51,"Televizorius|SAMSUNG|85""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Tizen|Juodas|QE85QN90DATXXH",2655.99,Samsung,"3840 x 2160

4K",216 cm (85 coliai),Tizenas
52,"Televizorius TV Set|THOMSON|43""|4K/Smart|QLED|3840x2160|Wireless LAN|Bluetooth|Google TV|Juodas|43QG7C14",389.99,Thomson,"3840 x 2160

4K",43,
53,Televizorius LG 55UT73006LA LED 55'' 4K Ultra HD WebOS 24,489.99,LG,3840 x 2160,139 cm (55 colių),WebOS
54,"Televizorius Sony XR77A80K 77"" (195cm), Juodos spalvos",2430.19,Sony,UHD 4K (3840 x 2160),77 195,Android
55,SAMSUNG QE77S95DATXXH 77 colių televizorius,2826.57,Samsung,UHD 4K (3840 x 2160),77 195,Tizen
56,"Televizorius Kruger & Matz 55"" UHD Google TV DVB-T2/T/C H.265 HEVC TV",365.99,Kruger & Matz,4K,55,
57,"Cabletech 40"" FHD DVB-T2 H.265 HEVC televizorius",159.99,Cabletech,Full HD,40,
58,Televizorius LG MPN,2429.99,LG,"4K

3840 x 2160","195 cm (77"")",WebOS
59,„Philips 65 PUS8309“ – 4K LED „Ambilight“ televizorius,609.99,Philips,"4K

3840 x 2160",65,
60,Finlux Televizorius LED 40 cali 40FHH4124,199.99,Finlux,,"40""",
61,Televizorius Sencor 43US802TCSB LED 43'' 4K Ultra HD WebOS,309.99,Sencor,"4K
3840 x 2160","109 cm (43"")",WebOS
62,"televizorius Samsung 85""",5687.06,Samsung,8K Ultra HD,85,Tizenas
63,Televizorius Hyundai FLM43TS349SMART,249.99,Hyundai,Full HD,"109 cm (43"")",pritaikyta OS
64,"Televizorius LG | OLED83G33LA | 83"" | Smart TV | webOS 23 | 4K UHD",3319.59,LG,4K,"83 83"" 50 - 58",webOS WebOS
65,Televizorius Tv Qe50q80datxxh Samsung,1019.99,Samsung,,,
66,Televizorius taip pat SAMSUNG TV The Frame 85 colių QE85LS03BGU,2618.39,,4K,85,Tizen
67,„Philips 85 PUS8309“ – 4K LED „Ambilight“ televizorius,1375.99,Philips,4K,85,
68,Hisense 50 colių 50A6N LED televizorius,379.99,Hisense,3840 x 2160,"50""",
69,"Televizorius|TOSHIBA|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|Juodas|43QV2463DG",305.99,Toshiba,"4K

3840 x 2160","43""",
70,"Televizorius|TOSHIBA|50""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|Juodas|50UA2363DG",339.99,,4K,50,Android
71,Hisense 55 colių 55A6N LED televizorius,419.99,Hisense,3840 x 2160,"55""",
72,Televizorius LG MPN,395.99,LG,"3840 x 2160

4K",108 cm (43 colių),WebOS
73,"Televizorius Metz 65"", UHD, Google TV, Juodas, QLED 60Hz, DV, 350nits, DA, AV1, 2x10W, Energy F, BT5.1, WiFi5G, 3 HDMI 2.0, 2xUSB, 24 months",529.99,Metz,3840 x 2160 3840x2160,"65 65"" 65""",
74,"Televizorius Metz 55"", UHD, Google TV, Juodas, QLED 60Hz, DV, 300nits, DA, AV1, 2x10W, Energy F, BT5.1, WiFi5G, 3 HDMI 2.0, 2xUSB, 24 months",389.99,Metz,3840 x 2160 3840x2160,"55 55"" 55""",
75,"Televizorius Metz 50"", UHD, Google TV, Juodas, LED 60Hz, HDR10, 250nits, 2x10W, Energy E, BT5.1, WiFi5G, 3 HDMI 2.0, 2xUSB, 24 months",299.99,Metz,3840 x 2160 3840x2160,"50 50"" 50""",
76,"Televizorius Hisense Germany TV Hisense 65E78HQ QLED 65 ""'4K Ultra HD VidaA",669.99,Hisense Germany,4K,65,VIDAA OS
77,Televizorius JVC MPN,499.99,JVC,"4K
3840 x 2160",127 cm (50 colių),Android
78,„Philips 48 OLED759“ – 4K „Ambilight“ televizorius,969.99,Philips,4K,48,
79,Televizorius Hyundai FLM40TS349SMART,229.99,Hyundai,Full HD,"102 cm (40"")",pritaikyta OS
80,"ProCaster LE-24F410H 24 ""LED televizorius",155.99,Procaster,HD Ready,24,
81,"Televizorius|TOSHIBA|32""|Išmanusis|1366x768|Belaidis LAN|Bluetooth|Android TV|Juodas|32WA2363DG",159.99,Toshiba,HD Ready,"32""",Android
82,"Televizorius|PHILIPS|55""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Titan OS|55PUS8009/12",407.29,Philips,"3840 x 2160

4K","55""",
83,Philips Televizorius 77 Cali OLED 77OLED909/12,5126.18,Philips,"4K

3840 x 2160",77'',
84,"Televizorius TV HISENSE 85"" 85A6N UHD 4K VIDAA U7.0 Dolby Vision",1201.96,Hisense,4K,"85 85""",VIDAA OS VIDAA U7.6
85,SONY K85XR70PAEP LCD televizorius,2679.99,Sony,,,
86,„Philips The One 65 PUS8949“ – 4K LED „Ambilight“ televizorius,795.99,Philips,"4K

3840 x 2160",8949,
87,Televizorius LG 65'' UT73 – 4K LED TV,549.99,LG,"4K

3840 x 2160",65,
88,Televizorius JVC MPN,439.99,JVC,"4K
3840 x 2160",108 cm (43 colių),Android
89,"Televizorius|PANASONIC|65""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|TX-65MZ800E",1395.99,Panasonic,4K,165 cm (65 coliai),Google TV
90,Televizorius PHILIPS OLED 77OLED769/12,2039.99,Philips,Ultra HD,77 inch / 194 cm,
91,"Televizorius eSTAR Android TV 55""/140cm 4K UHD LEDTV55A1T2 Juodas",350.14,eStar,"3840 x 2160

4K 3840 x 2160",55 55,Android
92,Televizorius JVC MPN,1169.99,JVC,"4K
3840 x 2160",164 cm (65 coliai),Google TV
93,Televizorius Samsung QE85QN85DBTXXH,2406.69,Samsung,4K,216 cm (85 coliai),Tizenas
94,Hisense Televizorius LED 65 cali 65A6N,556.37,Hisense,3840 x 2160,"65""",
95,"Philips 75PUS8309 189cm 75"" 4K LED Ambilight Smart TV televizorius",835.99,Philips,"4K

3840 x 2160",75,
96,Televizorius LG 75'' UT80 – 4K LED TV,799.99,LG,"4K

3840 x 2160",75,
97,"Televizorius Metz 55"", UHD, Android TV, Juodas, OLED 60Hz, DV, 500/900nits, DA, 2x12W, Energy F, BT, WiFi, 3 HDMI 2.0, 2xUSB, 24 months",689.99,Metz,4K 3840x2160,"55 55"" 55""",Android
98,"Televizorius Metz 50"", UHD, Google TV, Juodas, QLED 60Hz, DV, 300nits, DA, AV1, 2x10W, Energy F, BT5.1, WiFi5G, 3 HDMI 2.0, 2xUSB, 24 months",345.99,Metz,3840 x 2160 3840x2160,"50 50"" 50""",
99,Televizorius JVC MPN,599.99,JVC,"4K
3840 x 2160",139 cm (55 colių),Google TV
100,"Televizorius|THOMSON|50""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|50QG7C14",439.99,Thomson,"3840 x 2160

4K",50,
101,Televizorius LG MPN,1329.99,LG,4K,189 cm (75 colių),WebOS
102,Hisense LED televizorius 40 colių 40A4N,255.99,Hisense,Full HD,"40""",
103,Televizorius LG MPN,1549.99,LG,"4K

3840 x 2160",164 cm (65 coliai),WebOS
104,Televizorius LG 65'' UT80 – 4K LED TV,599.99,LG,"4K

3840 x 2160",65,
105,"Televizorius|TOSHIBA|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|Juodas|65QV2463DG",519.99,Toshiba,"4K

3840 x 2160","65""",
106,Televizorius LG OLED65G49LS,2279.99,LG,,,
107,"Televizorius Monitorius AG Neovo AG neovo X-2402w 59,9cm 16:9 baltas",959.99,Neovo,,,
108,"Philips 65OLED809 164cm 65"" OLED 4K Amilight Smart TV televizorius",2009.99,Philips,"3840 x 2160

4K",65,
109,"Philips 77OLED809 194cm 77"" OLED 4K Amilight Smart TV televizorius",3209.99,Philips,"3840 x 2160

4K",77,
110,Televizorius LG 55UR762H9ZC NanoCell 55'' 4K Ultra HD WebOS 5.0,689.99,LG,"3840 x 2160

4K",,
111,"Philips 55OLED809 139cm 55"" OLED 4K Amilight Smart TV televizorius",1699.99,Philips,"3840 x 2160

4K",55,
112,"Philips 42OLED809 106cm 42"" OLED 4K Amilight Smart TV televizorius",1319.99,Philips,"3840 x 2160

4K",42,
113,Televizorius Blaupunkt 32WGC5520S,147.99,Blaupunkt,,,
114,Televizorius Sharp 32GD2225E 32 720p Sort,195.99,Sharp,,,
115,"Televizorius Panasonic TV-55W95AEG 139cm 55"" 4K MiniLED 144 Hz Smart TV Fernseher",1359.99,Panasonic,"4K

3840 x 2160",55,
116,Televizorius LG OLED55G49LS,1729.99,LG,,,
117,Televizorius Samsung UE50DU7172UXXH,340.12,Samsung,4K,127 cm (50 colių),Tizenas
118,Televizorius Samsung UE50CU7092UXXH,339.46,Samsung,3840 x 2160,"50 50"" 40 - 43",Tizen Tizen™
119,Televizorius Samsung QE55Q80DATXXH,606.80,Samsung,UHD 4K (3840 x 2160),55 138,Tizen
120,Televizorius Philips | 43PUS8518/12 | 43 colių (108 cm) | Smart TV | Google TV | 4K UHD LED,406.98,,4K,43,Android
121,"Televizorius Kivi 43', FHD, Android TV 11, Juodas, 1920x1080, 60 Hz, Garsas 2x12W, 53 kWh/1000h , BT5.1, HDMI jungtys 4, 24 mėn.",216.11,Kivi,1920 x 1080 1920x1080,"43 43"" 43""",Android
122,"Televizorius|TCL|40""|FHD|1920x1080|Android TV|40S5400A",215.99,TCL,Full HD,"40 40"" 40 - 43",Android Android 11
123,JVC LT32VAF5300 FHD Android televizorius,202.98,JVC,Full HD,32 32'' 30 - 39,Android Android TV 11
124,"Televizorius|LG|48""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|WebOS|OLED48C41LA",907.80,LG,4K,"48 48"" 50 - 58",webOS WebOS
125,SAMSUNG UE55CU7092UXXH 55 colių televizorius,369.99,Samsung,"3840 x 2160

4K","55 55"" 40 - 43",Tizen Tizen™
126,SAMSUNG UE43CU7092UXXH 43 colių televizorius,299.79,Samsung,3840 x 2160,"43 43"" 40 - 43",Tizen Tizen™
127,"Televizorius SAMSUNG TV QLED 43"" QE43Q60CAU",379.99,,3840 x 2160,43,Tizen
128,"Televizorius LG | 32LQ63006LA | 32"" (81 cm) | Smart TV | WebOS 3.0 | FHD",188.10,,Full HD,32,webOS
129,"Televizorius Kivi 32F750NB, 32', FHD, Android TV 11, Juodas, 1920x1080, 60 Hz, Sound by JVC, 2x8W, 27 kWh/1000h , BT5.1, 3 HDMI jungtys",215.99,Kivi,1920 x 1080,32 32'' 30 - 39,Android Android TV 11
130,"Televizorius Kivi 32H750NB, 32', HD, Google Android TV, 1366x768, 60 Hz, Sound by JVC, 2x8W, 33 kWh/1000h , BT5, juodas",181.49,Kivi,1366 x 768,32,Android
131,"Televizorius|TCL|55""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|55C655",425.99,TCL,4K,"55 55"" 40 - 43",„GoogleTV“ (ATV 12.0)
132,"Televizorius|TCL|55""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|55V6B",329.53,TCL,4K,138 cm (55 coliai),Google TV
133,"Televizorius LG 55"" OLED/4K|3840x2160|Belaidis LAN|Bluetooth|WebOS|OLED55G42LW",1329.99,LG,4K,55,webOS
134,Televizorius Samsung QE65QN85DBTXXH,927.90,Samsung,4K,164 cm (65 coliai),Tizenas
135,"Televizorius Kivi 40', FHD, Google Android TV, Juodas, 1920x1080, 60 Hz, Sound 2x10W, 41 kWh/1000h , BT5, HDMI jungtys 2, 24 months",209.99,Kivi,1920 x 1080 1920x1080,"40 40"" 40""",Android
136,Televizorius Samsung UE43DU8072UXXH,320.89,Samsung,4K,"43 43"" 40 - 43",Tizen Tizen™
137,"Televizorius Kivi 24"", Juodas, HD Ready, Android TV 11, Juodas, 1366x768, 60 Hz, AV1, Garsas 2x5W, 17 kWh/1000h, Energy E, WiFi5G, BT5.1, 3xHDMI, 2xUSB, 24 mėn.",148.82,Kivi,HD Ready 1366x768,"24 24"" 24""",
138,"Televizorius Kivi 32H550NB, 32' HD, Nosmart, Juodas, 1366x768, 60 Hz, , 2x8W, 33 kWh/1000h ,HDMI jungtys 2",127.83,,1366 x 768,32,
139,Televizorius Philips 40PFS6009/12 | 40 | Smart TV | Titanas | Full HD | Juodas,234.89,Philips,4K,40,
140,Televizorius Samsung QE50Q80DATXXH,596.49,Samsung,UHD 4K (3840 x 2160),50 125,Tizen
141,"Televizorius TV Set|SAMSUNG|75""|4K/Smart|QLED|3840x2160|Tizen|Juodas|QE75Q60DAUXXH",843.73,Samsung,4K,"191 cm (75"")",Tizenas
142,"Televizorius|TCL|50""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|50V6B",349.12,TCL,4K,125 cm (50 colių),Google TV
143,"Televizorius|TCL|65""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|65C655",524.54,TCL,4K,"65 65"" 40 - 43",„GoogleTV“ (ATV 12.0)
144,Televizorius Xiaomi TV | A 2025 | 50 | Smart TV | Google TV | 4K UHD | Juodas,363.73,Xiaomi,4K,"50 50""",Roku Google TV
145,"Televizorius|SAMSUNG|55""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Tizen|Juodas|QE55S90DAEXXH",1036.63,Samsung,UHD 4K (3840 x 2160),55 138,Tizen
146,Televizorius KIVI 32F760QW,174.15,Kivi,Full HD,32 32'',Android 11
147,Nvox Televizorius przenośny turistinis automobilinis led 12cali,83.99,,HD Ready,12,Neturi
148,Televizorius Samsung UE32T5372CDXXH,233.86,,HD Ready,32,Tizen
149,Philips | LED HD televizorius | 32PHS5527/12 | 32 colių (80 cm) | HD LED | Sidabrinis,155.51,Philips,HD Ready,32,
150,Philips | 32PFS6908/12 | 32 colių (80 cm) | Išmanusis televizorius | FHD,218.21,,Full HD,32,Saphi
151,"Televizorius|LG|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|Juodas|43UR781C",277.80,LG,4K,"43""",webOS
152,"Televizorius TCL C80 Series 65C805 TV 165,1 cm (65 colių) 4K Ultra HD Smart TV Wi-Fi Juodas 1300 cd/m²",919.99,TCL,"4K

3840 x 2160","65 65"" daugiau nei 80",„GoogleTV“ (ATV 12.0)
153,"Televizorius Kivi 32', FHD, Android TV 11, Mėlyna, 1920x1080, 60 Hz, 2x8W, 26 kWh/1000h , BT5.1, HDMI jungtys 3, 24 months",241.43,Kivi,1920 x 1080 1920x1080,"32 32"" 32""",Android
154,Televizorius Xiaomi ELA5483EU,279.99,Xiaomi,"3840 x 2160

4K","43 43""",Google TV
155,Televizorius Samsung QE75Q80DATXXH,1113.84,Samsung,4K,"191 cm (75"")",Tizenas
156,Televizorius PHILIPS 24PHS5507/12,126.80,Philips,HD Ready,24,Neturi
157,Televizorius TCL 55C805,706.86,TCL,"4K

3840 x 2160","55 55"" daugiau nei 80",„GoogleTV“ (ATV 12.0)
158,TCL C845 65 4K QLED mini LED „Google“ televizorius,898.91,TCL,4K,165 cm (65 coliai),Google TV
159,Televizorius Samsung UE55DU7172UXXH,383.84,Samsung,4K,"55 55"" 40 - 43",Tizen Tizen™
160,"Televizorius|LG|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|43UR78003LK",283.90,,4K,43,webOS
161,Televizorius LG,815.80,LG,4K,"42 42"" 50 - 58",webOS WebOS
162,"ProCaster LE-24A551H 24 colių „HD Ready Android“ LED televizorius, 12 V",159.99,Procaster,HD Ready,24,Android
163,"SAMSUNG televizorius The Frame 32"" QE32LS03CBU",351.75,,HD Ready,32,Tizen
164,Televizorius Samsung UE65DU7172UXXH,549.99,Samsung,4K,"65 65"" 40 - 43",Tizen Tizen™
165,LED televizorius Hisense 55U7NQ,669.89,Hisense,4K,"55 55"" 60 - 65",VIDAA U7.6
166,"Televizorius|LG|83""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|WebOS|OLED83C41LA",3013.92,LG,4K,"83 83"" 50 - 58",webOS WebOS
167,"Televizorius eSTAR Android TV 32""/82cm 2K HD LEDTV32A3T2 Juodas",154.28,eStar,HD Ready,32 32'' 30 - 39,Android Android 11
168,"Televizorius TV Set|DAHUA|50""|4K/Smart|3840x2160|Wireless LAN|Bluetooth|Android TV|Juodas|DHI-LTV50-SD400",279.99,Dahua,4K,50,Android
169,Hisense 55U6NQ,625.99,Hisense,3840 x 2160,"55 55""",VIDAA OS VIDAA U7.6
170,Televizorius Sharp Aštrus | 40FH2EA | 40 colių (101 cm) | Smart TV | Android TV | FHD | Juodas,237.67,Sharp,Full HD,"40 40""",Android Android 11
171,Philips | 4K UHD LED Android televizorius su Ambilight | 65PUS8518/12 | 65 colių (164 cm) | Išmanusis televizorius | Google TV | 4K UHD LED | Antracitas,851.72,,4K,65,Android
172,"Televizorius|PANASONIC|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|TX-43MX700E",382.51,Panasonic,"4K

3840 x 2160",43,
173,"Philips Išmanusis televizorius LED HD TV, 24 colių (24PHS6808/12)",164.58,,HD Ready,24,Linux
174,SONY KD43X75WLPAEP LCD televizorius,525.30,Sony,4K,"43 43"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
175,Televizorius Manta 19LHN123D,98.26,,1366 x 768,19,
176,Nvox Televizorius led 5cali usb sd dvb-t/t2 h265 hevc mpeg-4/2 12v 230v,69.99,,800 x 480,5,Neturi
177,Televizorius TCL 75C745,1033.50,TCL,4K,"75 75""",Android „GoogleTV“ (ATV 11.0)
178,SAMSUNG televizorius Neo QLED 85 colių QE85QN85CAT,2295.53,Samsung,4K,216 cm (85 coliai),Tizenas
179,"Televizorius|TCL|98""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Google TV|98C805",2612.05,TCL,4K,"248 cm (98"")",Google TV
180,Televizorius PHILIPS 55PUS8518/12,759.99,Philips,4K,55,Android
181,LG,402.58,LG,4K,"50 50"" 40 - 43",webOS WebOS
182,Finlux Televizorius LED 24 cale 24FHG5520,119.43,Finlux,HD Ready,24 24'',
183,"Televizorius Allview | 40ATC6000-F | 40"" (101 cm) | N/A | FHD | Juodas",176.25,AllView,Full HD,"40""",Android
184,Televizorius Samsung QE50Q67DAUXXH,444.31,Samsung,4K,50,Tizenas
185,Televizorius Samsung Q67C 43 4K QLED TV,453.19,Samsung,4K,,
186,Televizorius Samsung QE65S90DATXXH,1559.99,Samsung,3840 x 2160,165 cm (65 coliai),Tizenas
187,Televizorius Philips 43PUS7009/12 43 colių (108 cm) 4K Ultra HD LED,280.20,Philips,4K,43,
188,"Televizorius|DAHUA|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|Juodas|DHI-LTV43-SD400",220.92,Dahua,4K,"42 43""",Android Android 11
189,Televizorius Samsung QE55QN85DBTXXH,689.20,Samsung,4K,138 cm (55 coliai),Tizenas
190,"Televizorius TV Set|TCL|50""|4K/Smart|QLED|Wireless LAN|Bluetooth|Google TV|Juodas|50C643",327.06,TCL,4K,"50 50""",Google TV
191,Televizorius LG OLED77G42LW | 77 | Smart TV | webOS24 | 4K UHD,2621.44,LG,4K,"77 77"" 50 - 58",webOS WebOS
192,"Televizorius|LG|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|65NANO82T3B",544.28,LG,4K,65,webOS
193,Televizorius LG 65UT73003LA | 65 | Smart TV | webOS24 | UHD | Juodas,492.45,LG,UHD 4K (3840 x 2160),65 164,webOS
194,Televizorius Samsung QE55QN90DATXXH,884.94,Samsung,4K,138 cm (55 coliai),Tizenas
195,Televizorius LG OLED83G42LW,3640.89,LG,4K,"83 83"" 50 - 58",webOS WebOS
196,"Televizorius|LG|75""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|75NANO81T3A",799.99,LG,4K,75,webOS
197,"Televizorius|TCL|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|43V6B",253.01,TCL,4K,"43""",
198,Televizorius Hisense 55U6NQ,503.64,Hisense,3840 x 2160,"55 55""",VIDAA OS VIDAA U7.6
199,Televizorius Samsung QE55S95DAT,1422.90,Samsung,4K,139 cm (55 colių),Tizenas
200,"Televizorius TV Set|LG|43""|4K/Smart|3840x2160|webOS|43UT80003LA",306.80,LG,"4K

3840 x 2160","43 43"" 40 - 43",webOS WebOS
201,Philips LED Ambilight televizorius | 55PUS8319/12 | 55 | Smart TV | Titanas | 4K UHD | Juodas,449.99,Philips,4K,55,
202,"Televizorius TV Set|LG|75""|Wireless LAN|Bluetooth|Juodas|75UR781C",672.90,LG,4K,75,
203,"Televizorius|PANASONIC|55""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|TX-55LX650E",438.60,Panasonic,4K,139 cm (55 colių),Google TV
204,"Televizorius|LG|55""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|55NANO82T3B",413.46,LG,4K,"55 55"" 40 - 43",webOS WebOS
205,"Televizorius Sharp | 43GL4260E | 43"" (108cm) | Smart TV | Google | 4K UHD | Juodas",310.90,Sharp,"4K
3840 x 2160",43,
206,Televizorius PHILIPS OLED 55OLED819/12,1310.72,Philips,4K,55,Android
