id,price,brand,brandI,Amortizatoriai galiniai:,Balnelis:,Diskiniai stabdžiai:,Dviračių tipai:,Galinis permetėjas:,Kategorija:,Licencijos (filmukų herojai):,Padangos:,Pakuotė:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pardavėjas:,Pavarų perjungimo rankenėlė:,Pavarų skaičius:,Pedalai:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinis permetėjas:,Ratlankiai:,Ratų skersmuo:,Rekomend. amžius nuo:,Rekomenduojamas ūgis:,Rėmas:,Rėmo dydis:,Rūšis:,Skirta:,Stabdžių sistema:,Svoris:,Visos šio ženklo prekės:,Šakė:
24,150.0,Bottari,"Kalnų dviratis Bottari Milano 26"", mėlynas",Nėra,Yra,Ne,Kalnų,Saiguan,Dviračiai,,26x1.95,132 x 17.5 x 71 cm,"1,32 x 0,45 x 0,71 m, 20 kg",,Pigu.lt,Saiguan,18,Plastikiniai,53526189,1 vnt.,Bottari,Nenurodyta,Aliumininiai,"26 """,,170-180 cm,Plieninis,19 cm,"Bottari, kalnų dviračiai","Moterims, 					            Universalus, 					            Vyrams",V-tipo,20 kg,Visos Bottari prekės,Kieta
25,128.99,Heart,"Vaikiškas dviratis Heart Bike 16"", baltas",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,82 x 0,22 x 0,48 m, 13 kg",,Sun baby,Nenurodyta,Nenurodyta,,81128475,1 vnt.,Heart,Nenurodyta,-,"16 """,,95-110 cm,Plieninis,16 cm,"Heart, vaikiški dviračiai",Universalus,V-Brake,9.8 kg,Visos Heart prekės,Nenurodyta
26,274.17,,"KROSS Lea JR 1.0 D min-gre g mergaitiškas vaikiškas dviratis (24"") - Standartinis dydis",,,,,Guli GL-B42R,Dviračiai,,"Wanda P1226 24X2,35",,"1,57 x 0,25 x 0,9 m, 19 kg",,Ultrabike LT,Shimano altus M315,8,FP-804,100515287,1 vnt.,,,,,,,,,,,,,,Amortizuojanti
27,395.0,Ewo React,"Kalnų dviratis Ewo React Grand Fat Bike, 26'', mėlynas",Nenurodyta,,,Kalnų,Nenurodyta,Dviračiai,,,,"1,4 x 0,77 x 0,2 m, 21 kg",,GJ Bikes SIA,Nenurodyta,8,,79526043,1 vnt.,Ewo React,Nenurodyta,Nenurodyta,"26 """,,"160-185 cm, 					            180-190 cm",Aliuminis,26 cm,"Ewo React, kalnų dviračiai","Moterims, 					            Universalus, 					            Vyrams",Diskiniai,21 kg,Visos Ewo React prekės,Amortizuojanti
28,420.0,Insera,"Dviratis Insera X2600, 48 cm, tamsiai pilkas",Nenurodyta,,,Kalnų,SHIMANO Tourney TX800,Dviračiai,,54-559,138x20x71 cm,"1,38 x 0,2 x 0,71 m, 15 kg",,Pigu.lt,Shimano Tourney,24,,71567586,1 vnt.,Insera,Nenurodyta,Aliuminiai,"26 """,,"150-165 cm, 					            160-170 cm",Aliuminis,19 cm,"Insera, kalnų dviračiai","Moterims, 					            Vyrams",Logan,15 kg,Visos Insera prekės,Zoom MLO-389A
29,202.0,Devron,"Dviratis DHS Jumper 2005 20“, violetinis",Yra,,,BMX,Yra,Dviračiai,,,,"1,45 x 0,2 x 0,85 m, 19 kg",,Pigu.lt,1,1,,67905426,1 vnt.,Devron,Yra,"Cerurim S21, 48H","20 """,,113-140 cm,Plieninis,12 cm,"Devron, bmx dviračiai",Universalus,Winzip U-Brake,19 kg,Visos Devron prekės,Plienas
30,77.9,Dino Bikes,"Vaikiškas dviratis Sonic, 12'', mėlynas",Nėra,,,Vaikiški,1- bėgio vidinės pavaros,Dviračiai,,,,"0,78 x 0,41 x 0,17 m, 6,8 kg",,Pigu.lt,1,1,,80599615,1 vnt.,Dino bikes,Nenurodyta,"12"" aliuminiai","12 """,,90-100 cm,Metalinis,12 cm,"Dino bikes, vaikiški dviračiai",Berniukams,Priekiniai,5.9 kg,Visos Dino Bikes prekės,Nenurodyta
31,379.0,ROMET,Dviratis Romet vintage classic M,Nėra,,,Miesto,Nenurodyta,Dviračiai,,,,"1,49 x 0,55 x 0,6 m, 20 kg",,"Velomarket OÜ, 					            Minced",Shimano Nexus,3,,56703793,1 vnt.,Romet,Nenurodyta,Nenurodyta,"28 """,,160-185 cm,Nenurodyta,20 cm,"Romet, miesto dviračiai","Moterims, 					            Universalus",V-Brake,- kg,Visos ROMET prekės,Nenurodyta
32,219.0,Karbon,"Karbon Stickerbomb 20"" 2024 BMX Freestyle dviratis rotorius geltona",Nėra,,Ne,BMX,TORPEDO,Dviračiai,,20x1.90,,"1,2 x 0,19 x 0,5 m, 12 kg",,RoweroSfera,Nenurodyta,Nenurodyta,Plastic,92342266,1 vnt.,Karbon,Nėra,20,"20 """,,"120-160 cm, 					            160-185 cm",Plieninis,20 cm,"Karbon, bmx dviračiai","Berniukams, 					            Mergaitėms, 					            Moterims, 					            Universalus, 					            Vyrams",V-Brake,- kg,Visos Karbon prekės,Plienas
33,549.0,Davi,"Moteriškas dviratis Davi Emma, 160-185 cm, 28"", Shimano, juodas",Nėra,,,Miesto,SHIMANO,Dviračiai,,,,"1,45 x 0,55 x 0,8 m, 19 kg",,DaviBikes,SHIMANO,7,,69969284,1 vnt.,Davi,Nenurodyta,"28""","28 """,,160-185 cm,Metalinis,18 cm,"Davi, miesto dviračiai",Moterims,V-Brake,18 kg,Visos Davi prekės,Kieta
34,254.0,Bottari,"Kalnų dviratis Bottari Cervinia 27,5"", žalias",Nėra,DDK SA-5311,Taip,Kalnų,Shimano TY300,Dviračiai,,650B,,"1,48 x 0,45 x 0,76 m, 19 kg",,Pigu.lt,Nenurodyta,21,,26318130,1 vnt.,Bottari,Nenurodyta,Nenurodyta,"27.5 """,,"180-190 cm, 					            190-200 cm",Plieninis,18 cm,"Bottari, kalnų dviračiai","Moterims, 					            Universalus, 					            Vyrams",Diskiniai mechaniniai,19 kg,Visos Bottari prekės,Amortizuojanti
35,268.0,DHS,"Kalnų dviratis DHS 2722 27.5"", šviesiai mėlynas",Nenurodyta,WWD 2703-1,Ne,Kalnų,RD-TY300D,Dviračiai,,27.5,,"1,8 x 0,182 x 0,976 m, 20,55 kg",,Pigu.lt,Shimano ST-EF500 3 pavarų / Shimano ST-EF500 7 pavarų,21,FP-806,52047264,1 vnt.,DHS,Nenurodyta,D02-PBM 27.5-32H,"27.5 """,,"160-170 cm, 					            170-180 cm, 					            180-190 cm",Aliuminis,18 cm,"DHS, kalnų dviračiai","Moterims, 					            Universalus",V-tipo,14.55 kg,Visos DHS prekės,Amortizuojanti
37,236.94,,"KROSS Lea Mini 1.0 gry-cel g Vaikiškas dviratis (20"") - S dydis",,Kross,,,Shimano TY 21,Dviračiai,,,,"1,57 x 0,25 x 0,9 m, 19 kg",,Ultrabike LT,Shimano TX30,6,FP-619,93290838,1 vnt.,,,Kross,,,,Aliuminis,,,,,,,
38,144.0,Schumacher,"Vaikiškas dviratis Schumacher Kid Smart 20"", mėlynas",Nenurodyta,,,"Miesto, 					            Vaikiški",Nenurodyta,Dviračiai,,,,"1,08 x 0,21 x 0,55 m, 14 kg",,Vaikutis,Nenurodyta,Nenurodyta,,86266920,1 vnt.,Schumacher,Nenurodyta,Plieniniai,"20 """,5 m.,120-140 cm,Plieninis,20 cm,"Schumacher, miesto dviračiai,                                                                                             Schumacher, vaikiški dviračiai","Berniukams, 					            Mergaitėms, 					            Universalus","Priekiniai - U-tipo, galiniai - pedalų",14 kg,Visos Schumacher prekės,Kieta
39,656.9,Enero,"Triratis reabilitacijai Enero Rower 24"", 1 bėgio, raudonas",Nenurodyta,Nenurodyta,,Triračiai,Nenurodyta,Dviračiai,,24x1.75,167x112x72 cm,"1,67 x 0,45 x 0,72 m, 20 kg",,"Pro Baltic, 					            Buying Solutions",Nenurodyta,1,Plastikiniai,24136965,1 vnt.,Enero,Nenurodyta,Aliumininiai,"24 """,,"160-170 cm, 					            170-180 cm, 					            180-190 cm",Plieninis,24 cm,"Enero, triračiai dviračiai","Moterims, 					            Universalus, 					            Vyrams",V-Brake,- kg,Visos Enero prekės,Nenurodyta
40,96.9,Dino Bikes,"Vaikiškas dviratis Sonic, 14'', mėlynas",Nėra,,,Vaikiški,1- bėgio vidinės pavaros,Dviračiai,,,,"0,87 x 0,46 x 0,17 m, 8,6 kg",,Pigu.lt,1,1,,80599620,1 vnt.,Dino bikes,Nenurodyta,14,"14 """,,95-110 cm,Metalinis,14 cm,"Dino bikes, vaikiški dviračiai",Berniukams,Priekiniai,7.7 kg,Visos Dino Bikes prekės,Nenurodyta
41,75.1,Dino Bikes,"Dviratukas vaikams Flash 12"", 612L-FH",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,Flash,,,"1,6 x 0,52 x 0,5 m, 6,8 kg",,Pigu.lt,Nenurodyta,Nenurodyta,,52755079,1 vnt.,Dino bikes,Nenurodyta,Aliuminiai,"12 """,3 m.,90-110 cm,Plieninis,7 cm,"Dino bikes, vaikiški dviračiai",Berniukams,V-Brake,- kg,Visos Dino Bikes prekės,Kieta
42,229.0,ROMET,"Vaikiškas dviratis Romet Tom 20"" 2021, pilkas/geltonas",Nėra,Romet,Ne,Vaikiški,Nėra,Dviračiai,,20x1.95,,"1,4 x 0,7 x 0,69 m, 16 kg",,freeride LV,Nėra,1,Plastikiniai,36543128,1 vnt.,Romet,Nėra,Plieniniai,"20 """,,113-140 cm,Plieninis,9 cm,"Romet, vaikiški dviračiai","Berniukams, 					            Universalus","Priekiniai – V-tipo, galiniai – pedalų",11.5 kg,Visos ROMET prekės,Kieta
43,419.0,ROMET,"Miesto dviratis Romet Pop Art Lux 28"" Alu 2022, tamsiai raudonas",Nėra,Romet City,Ne,Miesto,Shimano Nexus 7,Dviračiai,,28x1.75,,"1,4 x 0,7 x 0,69 m, 17 kg",,"Pigu.lt, 					            Velomarket OÜ, 					            Pro Baltic, 					            Minced",Shimano Nexus 7 pavarų,7,FP-804,46034848,1 vnt.,Romet,Nėra,Aliumininiai,"28 """,,"170-180 cm, 					            180-190 cm",Aliuminis,18 cm,"Romet, miesto dviračiai","Moterims, 					            Universalus","Priekiniai – V-tipo, galiniai – pedalų",17.2 kg,Visos ROMET prekės,Kieta
44,242.0,Bottari,"Miesto dviratis Bottari Firenze 28"", juodas",Nėra,Nenurodyta,Ne,Miesto,Shimano Tourney TZ50,Dviračiai,,700x35,148 x 20 x 76 cm,"1,48 x 0,76 x 0,2 m, 19 kg",,Pigu.lt,Shimano Revo 6x3,18,Plastikiniai,22444875,1 vnt.,Bottari,Nenurodyta,Nenurodyta,"28 """,,170-180 cm,Plieninis,19 cm,"Bottari, miesto dviračiai",Vyrams,V-tipo,19 kg,Visos Bottari prekės,Kieta
45,599.95,Radio,"Radio Darko 20"" 2022 BMX dviratis, Matt Black",Nenurodyta,,,BMX,Nenurodyta,Dviračiai,,,,"1,35 x 0,55 x 0,7 m, 12,15 kg",,BE SECURE BALTICS UAB,Nenurodyta,1,,54804268,1 vnt.,Radio,Nenurodyta,Nenurodyta,"20 """,,"125-150 cm, 					            132-160 cm",Plieninis,20 cm,"Radio, bmx dviračiai",Berniukams,Nenurodyta,12.1 kg,Visos Radio prekės,Nenurodyta
46,380.0,Gust,"Kalnų dviratis Gust Excell, 29'', juodas/geltonas",Nenurodyta,,,Kalnų,Shimano Altus RD-M310,Dviračiai,,,,"1,2 x 0,72 x 0,2 m, 17 kg",,GJ Bikes SIA,SHIMANO,24,,80871685,1 vnt.,Gust,Nenurodyta,"29""","29 """,,"160-170 cm, 					            170-180 cm, 					            180-190 cm, 					            190-200 cm",Aliuminis,29 cm,"Gust, kalnų dviračiai","Moterims, 					            Universalus, 					            Vyrams",Diskiniai,17 kg,Visos Gust prekės,Suntour Nex suspension fork with lock-out
47,129.99,,"Vaikškas dviratis Tracker bike 16"", mėlynas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,94 x 0,22 x 0,49 m, 13,3 kg",,Sun baby,Nenurodyta,Nenurodyta,,81553575,1 vnt.,Nenurodyta,Nenurodyta,Nenurodyta,"16 """,,105-115 cm,Plieninis,16 cm,"Nenurodyta, vaikiški dviračiai","Berniukams, 					            Mergaitėms",V-Brake,- kg,Visos Nenurodyta prekės,Nenurodyta
48,128.99,Heart,"Vaikiškas dviratis Heart Bike 16"", violetinis",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,94 x 0,21 x 0,47 m, 13,6 kg",,Sun baby,Nenurodyta,Nenurodyta,,81128490,1 vnt.,Heart,Nenurodyta,-,"16 """,,105-115 cm,Plieninis,16 cm,"Heart, vaikiški dviračiai",Universalus,V-Brake,9.8 kg,Visos Heart prekės,Nenurodyta
49,283.0,,"Dviratis AL 26"" Formula ALPINA AM DD rėmas-15"" raudonas",Nenurodyta,,,Miesto,Nenurodyta,Dviračiai,,,,"1,41 x 0,82 x 0,21 m, 16,3 kg",,Gibox,Nenurodyta,Nenurodyta,,90617171,1 vnt.,Nenurodyta,Nenurodyta,Nenurodyta,"26 """,,155-170 cm,Aliuminis,16 cm,"Nenurodyta, miesto dviračiai",Universalus,Nenurodyta,16.3 kg,Visos Nenurodyta prekės,Nenurodyta
50,859.0,Kands,"Vyriškas dviratis Kands Elite Pro, 182-200 cm, Alu, Shimano, 28"", juodas",Nėra,,,"Miesto, 					            Trekking",SHIMANO,Dviračiai,,,,"1,45 x 0,55 x 0,8 m, 19 kg",,DaviBikes,SHIMANO,27,,69874059,1 vnt.,Kands,Nenurodyta,"28""","28 """,,180-200 cm,Aliuminis,21 cm,"Kands, miesto dviračiai,                                                                                             Kands, trekking dviračiai",Vyrams,V-Brake,18 kg,Visos Kands prekės,Amortizuojanti
51,-1.0,Aoli,"BMX dviratis Aoli 20"", pilkas",Nėra,,,BMX,Nėra,Dviračiai,,,,"1,34 x 0,22 x 1,14 m, 13,5 kg",,Magy žaislai,Nėra,1,,72377991,1 vnt.,Aoli,Nėra,20'' aliuminiai,"20 """,6 m.,132-160 cm,Plieninis,29 cm,"Aoli, bmx dviračiai",Berniukams,Galiniai pedalų stabdžiai,- kg,Visos Aoli prekės,Plienas
52,291.21,Royal Baby Space,"Vaikiškas dviratis RoyalBaby 16"" , baltas",Yra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,16 x 0,18 x 0,64 m, 13,6 kg",,Žaislų kalnas,Nenurodyta,1,,73472651,1 vnt.,Royal Baby Space,Nenurodyta,-,"16 """,,90-130 cm,Plieninis,16 cm,"Royal Baby Space, vaikiški dviračiai",Mergaitėms,Diskiniai,9.6 kg,Visos Royal Baby Space prekės,Nenurodyta
53,299.0,Gust,"Kalnų dviratis Gust Katox, 27,5’’, juodas/oranžinis",Nenurodyta,,,Kalnų,Shimano TY300D,Dviračiai,,,,"1,2 x 0,67 x 0,2 m, 18 kg",,GJ Bikes SIA,Shimano  3×7,21,,80871720,1 vnt.,Gust,Nenurodyta,"27,5","27.5 """,,150-180 cm,Aliuminis,17 cm,"Gust, kalnų dviračiai","Berniukams, 					            Mergaitėms, 					            Moterims, 					            Universalus, 					            Vyrams",Diskiniai,17 kg,Visos Gust prekės,Amortizuojanti
