id,price,brand,brandI,3G:,4G:,5G:,Atminties kortelės talpa:,Atminties kortelės tipas:,Aukštis:,Baterijos talpa (mAh):,Baterijos tipas:,Bluetooth:,Blykstė:,Budėjimo laikas iki:,Ekrano tipas:,Ekrano įstrižainė:,Fotografavimo galimybė:,GPS:,Gamintojo kodas:,Gamintojo procesorius:,Grafinis išdėstymas:,Gylis:,Jungties tipas:,Kategorija:,Kita informacija:,Kolonėlės:,Korpusas:,Maksimali raiška:,Maksimalus naudojimo laikas (val.):,Matmenys:,Operacinė sistema:,Operacinės sistemos versija:,Operatyvinė atmintis (RAM):,Pagrindinė kamera:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pakuotės turinys* (*komplektacija gali keistis):,Palaikomi formatai:,Palaikomos technologijos:,Pardavėjas:,Plotis:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinė kamera:,Procesoriaus taktinis dažnis:,Procesoriaus tipas:,Rūšis:,SIM:,Skambinimo funkcija:,Skirta vaikams:,Spalva:,Svoris:,USB jungtys:,Vaizdo didinimas:,Vidinė atmintis:,Visos šio ženklo prekės:,WiFi:
16,105.13,Xiaomi,Xiaomi Redmi Pad SE Wifi 4GB/64GB Graphite Gray,Ne,Ne,Ne,,,,,,Yra,,,LCD,8.7,,Yra,Pad SE 8.7,,,,,Planšetiniai kompiuteriai,,,,1340 x 800,,,Android,,4000 MB,8,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            IT Plus, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            AiO, 					            Eventure, 					            Vitalimax, 					            Fusion Store., 					            Digizone, 					            Helmand Baltics, 					            Treat Stores, 					            Store24, 					            Triksa, 					            Avesa Trade",,91124240,1 vnt.,XIAOMI,5,,Octa-core,"XIAOMI, 8.7 planšetiniai kompiuteriai",,,Ne,Pilka,0.478 kg,,,64 GB,Visos Xiaomi prekės,
17,272.87,Samsung,Samsung Galaxy Tab A9+ 5G 8/128GB Graphite SM-X216BZAEEUE,Taip,Taip,Taip,iki 1TB,MicroSD,25.71 cm,7040,,Yra,,,TFT,11'' (~27.9 cm),,Yra,"SM-X216BZAEEUB,SM-X216BZAEEUE",,,0.69 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,8000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Elektronika Internetu, 					            Galador Grupp OÜ, 					            Brandberry, 					            KATARATA, 					            Vitalimax, 					            Helmand Baltics, 					            Avesa Trade, 					            KAM Trade SIA, 					            ovolt",16.87 cm,78014498,1 vnt.,Samsung,5 MP,1.8 GHz,Octa-core,"Samsung, 11'' (~27.9 cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Pilka,0.491 kg,USB Type-C,,128 GB,Visos Samsung prekės,Yra
18,842.16,Samsung,Samsung Galaxy Tab S9+ WiFi 12/256GB Graphite SM-X810NZAAEUB,Ne,Ne,Ne,1TB,MicroSD,,10090,,Yra,,,AMOLED,"12.4""",,Nenurodyta,SM-X810NZAAEUB,,,,,Planšetiniai kompiuteriai,,Įmontuotos,,2800 x 1752,,"285,4 x 185,4 x 5,7 mm",Android 13,android,,13 + 8 MP Ultra Wide + Flash LED,"0,1 x 0,35 x 0,25 m, 0,4 kg",,,,,"Elektronika Internetu, 					            Trajektorija, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Viskasnamams COM, 					            Vitalimax, 					            Digizone, 					            Treat Stores, 					            ShoppingArea, 					            Avesa Trade, 					            KAM Trade SIA, 					            Orient Office AS, 					            ovolt",,74430356,1 vnt.,Samsung,12 MP Ultra Wide,,Snapdragon 8 Gen2,"Samsung, 12.4"" planšetiniai kompiuteriai",,,Ne,Pilka,0.581 kg,,,256 GB,Visos Samsung prekės,Wi-Fi 6E
19,432.54,Xiaomi,Xiaomi Redmi Pad 6 WiFi 8/256GB Gravity Gray,Ne,Ne,Ne,,,25.39 cm,8840,Li-Po,Yra,LED,,IPS-LCD,11'' (~27.9 cm),,Nėra,Pad 6,,,0.65 cm,,Planšetiniai kompiuteriai,,,,2880x1800,,,Android 13,,8000 MB,13 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Įkroviklis, 					Kabelis, 					Naudojimo instrukcija, 					Planšetė",,,Minced,16.52 cm,76056917,1 vnt.,XIAOMI,8 MP,,Snapdragon 870 5G (7 nm),"XIAOMI, 11'' (~27.9 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.49 kg,USB Type-C,,256 GB,Visos Xiaomi prekės,Yra
20,255.0,Xiaomi,Xiaomi Redmi Pad Pro 12.1 6GB/128GB Ocean Blue,Ne,Ne,Taip,,,,,,,,,LCD,"12.1""",,Nėra,"56173,VHU4733EU",,,,,Planšetiniai kompiuteriai,,,,2560 x 1600,,,Android 14,,6000 MB,,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            IT Plus, 					            Brandberry, 					            VEFabrika SIA, 					            KAM Trade SIA, 					            Orient Office AS",,86062665,1 vnt.,XIAOMI,,,Nenurodyta,"XIAOMI, 12.1"" planšetiniai kompiuteriai",,,Ne,Mėlyna,0.57 kg,,,128,Visos Xiaomi prekės,Yra
21,166.95,Lenovo,Lenovo Tab M11 (ZADA0260SE),Ne,Ne,Ne,,MicroSD,,7040,Nenurodyta,Yra,,,IPS,11,,Yra,M11 TB330FU,,,,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 13,android,4000 MB,8,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            Smartonly, 					            Galador Grupp OÜ, 					            Minced",,79407798,1 vnt.,Lenovo,8,,MediaTek Helio G88,"Lenovo, 11 planšetiniai kompiuteriai",,,Ne,Žalia,0.465 kg,,,128 GB,Visos Lenovo prekės,Yra
22,199.95,Xiaomi,Xiaomi Redmi Pad SE 8/256GB Graphite Grey,Ne,Ne,Ne,iki 1TB,Micro SDXC,25.55 cm,8000,,Yra,,,IPS,11'' (~27.9 cm),,Nėra,REDMI_PAD_SE_8/256_GRAY,,,0.74 cm,3.5 mm,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 13,,8000 MB,8 MP,"0,22 x 0,23 x 0,15 m, 2 kg",,"Įkroviklis, 					Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Infinity Game SIA, 					            Minced",16.71 cm,77492994,1 vnt.,XIAOMI,5 MP,,Octa-core,"XIAOMI, 11'' (~27.9 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.478 kg,USB Type-C,,256 GB,Visos Xiaomi prekės,Yra
23,224.03,Lenovo,Lenovo Tab M11 Luna Grey (ZADB0299SE),Ne,Taip,Ne,,MicroSD,,,Nenurodyta,Yra,,,IPS,11,,Yra,ZADB0299SE,,,,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,8000 MB,8,"0,26 x 0,17 x 0,01 m, 0,4 kg",,,,,"Pigu.lt, 					            Minced",,84249015,1 vnt.,Lenovo,8,,MediaTek Helio G88,"Lenovo, 11 planšetiniai kompiuteriai",,,Ne,Pilka,0.465 kg,,,128,Visos Lenovo prekės,Yra
24,135.0,Lenovo,Lenovo Tab M10 (3rd Gen) ZAAE0000SE TB328FU UNISOC T610 4GB 64GB Mali-G52 Android Storm Grey,Ne,Ne,Ne,,MicroSD,,5000 mAh,5000 mAh,Yra,,,IPS,"10.1"" (~25.6 cm)",,Yra,M10 (3rd Gen) TB328FU,,,,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,4000 MB,8,"0,26 x 0,18 x 0,04 m, 0,76 kg",,,,,"Pigu.lt, 					            IT Plus, 					            Galador Grupp OÜ, 					            Brandberry, 					            Vitalimax, 					            Avesa Trade, 					            KAM Trade SIA",,57161868,1 vnt.,Lenovo,5,,Unisoc T610,"Lenovo, 10.1"" (~25.6 cm) planšetiniai kompiuteriai",,,Nenurodyta,Pilka,0.46 kg,,,64 GB (dalis skirta OS),Visos Lenovo prekės,Yra
25,403.44,Lenovo,Lenovo Tab P12 128GB grey,Ne,Ne,Ne,,Micro SDXC,19.09 cm,10200,Non-removable Li-Ion,Yra,yra,,IPS LCD multi-touch,"12.7""",Yra,Yra,P12 TB370FU,,,0.69 cm,USB-C,Planšetiniai kompiuteriai,,Integruotos,,2944 x 1840,,,Android 13,,4096 MB,8 MP,"0,31 x 0,2 x 0,04 m, 1,18 kg",,,,,"Galador Grupp OÜ, 					            Digizone, 					            Avesa Trade",29.4 cm,74727171,1 vnt.,Lenovo,13 MP,2.6 Ghz,MediaTek,"Lenovo, 12.7"" planšetiniai kompiuteriai",nėra,,Nenurodyta,Pilka,0.615 kg,,,128 GB (dalis skirta OS),Visos Lenovo prekės,Yra
26,111.19,Samsung,Samsung Galaxy Tab A7 Lite WiFi 3/32GB SM-T220NZSAEUB,Ne,Ne,Ne,1TB,Micro SDXC,,5100,Li-Po,Yra,,,Nenurodyta,8.7,,Yra,T220,,,,,Planšetiniai kompiuteriai,,,,1340 x 800,,,Android OS,android,3000 MB,8 MP,"0,25 x 0,15 x 0,15 m, 0,5 kg",,,,,"Pigu.lt, 					            Elektronika Internetu, 					            Galador Grupp OÜ, 					            Brandberry, 					            Viskasnamams COM, 					            Pro Baltic, 					            PrimeOnline, 					            Solit, 					            HyperShop, 					            Treat Stores, 					            ShoppingArea, 					            KAM Trade SIA, 					            Orient Office AS, 					            ovolt",,43141553,1 vnt.,Samsung,2 MP,2.3 GHz,Hexa-core,"Samsung, 8.7 planšetiniai kompiuteriai",,,Ne,Sidabrinė,0.477 kg,,,32 GB (SSD),Visos Samsung prekės,Nėra informacijos
27,142.83,Samsung,"Samsung Galaxy Tab 4/64 GB Wi-fi SM-X110NZSAEUB, Silver",Ne,Ne,Ne,,Micro SDXC,,19.48,Lithium-Ion (Li-Ion),Yra,,,TFT,"8.7"" (~22.1cm)",,Nėra,Tab A9 (X110),,,,,Planšetiniai kompiuteriai,,,,800 x 1340,,,Android 13,,4000 MB,8 MP,"0,1 x 0,35 x 0,25 m, 0,4 kg",,,,,"Pigu.lt, 					            Trajektorija, 					            Brandberry, 					            Pro Baltic, 					            Vitalimax, 					            Avesa Trade, 					            ACT TRADE SIA, 					            KAM Trade SIA, 					            BB-ELECTRONICS",,79853915,1 vnt.,Samsung,2 MP,2.2 GHz,MediaTek,"Samsung, 8.7"" (~22.1cm) planšetiniai kompiuteriai",nėra,,Ne,Sidabrinė,0.329 kg,,,64 GB,Visos Samsung prekės,Wi-Fi 5 (802.11ac)
28,239.5,Samsung,Samsung Galaxy Tab A9+ WiFi 8/128GB Silver,Ne,Ne,Ne,iki 1TB,Micro SD,,7040,Lithium-Ion (Li-Ion),Yra,,,TFT,11'' (~27.9 cm),,Yra,"SM-X210N,SM-X210NZSEEUB,SM-X210NZSEEUE",,,,USB-C,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,8000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Megateka, 					            Vitalimax",,80574447,1 vnt.,Samsung,5 MP,2.2 GHz,Octa-core,"Samsung, 11'' (~27.9 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.48 kg,USB Type-C,,128 GB (dalis skirta OS),Visos Samsung prekės,Yra
29,678.95,Samsung,Samsung Galaxy Tab S9 FE+ 5G 8/128GB Gray SM-X616BZAAEUE,Taip,Taip,Taip,iki 1TB,Micro SD,28.54 cm,10090,,Yra,,,LCD TFT,12.4'' (~31.50 cm),,Yra,SM-X616BZAAEUE,,,0.65 cm,,Planšetiniai kompiuteriai,S Pen,,,2560 x 1600,,,Android 13,,8000 MB,8 + 8 MP,"0,1 x 0,35 x 0,25 m, 0,4 kg",,,,,"IT Plus, 					            Galador Grupp OÜ, 					            Vitalimax, 					            ovolt",18.54 cm,75627557,1 vnt.,Samsung,12 MP,,Octa-core,"Samsung, 12.4'' (~31.50 cm) planšetiniai kompiuteriai",Nano-SIM + eSIM,,Ne,Pilka,0.628 kg,USB Type-C,,128 GB,Visos Samsung prekės,Yra
