id,title,price,brand,Montavimo tipas,Energijos klasė,Valdymas,Spalva,Talpa (L),Tipas,Aukštis (cm),Plotis,Gylis,Metinės energijos sąnaudos,Garso lygio klasė,Gamintojas
29,"Šaldytuvas Gastronominis šaldymo stalas, 4 stalčiai, 280 l, 136 x 70 x 85 cm",1839.99,,,,,,,,,,,,,
30,LG | Šaldytuvas | GBV7180CPY | Energy efficiency class C | Free standing | Combi | Height 186 cm | No Frost system | Šaldytuvas net capacity 234 L | Šaldiklis net capacity 110 L | Ekranas | 35 dB | Sidabrinis,679.99,LG,Laisvai statomi,C,,Sidabrinė,234.0,Su kamera apačioje,186.0,,,,,LG
31,Goddess Single-door Šaldytuvas with šaldiklis compartment | GODRSE084GW8SE | Energy efficiency class E | Free standing | Larder | Height 83.8 cm | Šaldytuvas net capacity 74 L | Šaldiklis net capacity 8 L | 41 dB | Baltas,195.99,Goddess,,,,,,,,,,,,Goddess
32,Šaldytuvas Gorenje RB493PW baltas,229.99,Gorenje,,,,Balta,,,84.5,,,,,Gorenje
33,Šaldytuvas Liebherr IRBPdi 5170,3455.76,Liebherr,,,,,,,,,,,,Liebherr
34,Šaldytuvas HISENSE RB440N4GBD,515.99,Hisense,Laisvai pastatoma,D,,Juoda,336.0,Su kamera apačioje,200.0,59.5,59.0,,,Hisense
35,"Išparduodama. LG GBB72SWVGN Šaldytuvas, Free-standing, Bottom šaldiklis, D, Height 2,03 m, Net fridge 233 L, Net šaldiklis 107 L | LG | PAŽEISTA PAKUOTĖ, DENTS ON BOTH DOORS",389.99,LG,,,,,,,,,,,,LG
36,Samsung RS64DG53M3B1EO,985.99,Samsung,Laisvai statomi,E,Elektroninė,grafito plieno,218,Laisvai pastatomas,178.0,91.2,71.6,,,Samsung
37,Šaldytuvas Midea MDRB521MGB02,729.99,Midea,,,,Sidabrinė,,,,,,,,Midea
38,Įmontuojamas šaldytuvas Liebherr ICBdi 5182,1851.30,Liebherr,,,,,,,,,,,,Liebherr
39,"Šaldytuvas Royal Catering Šaldymo vitrina su plieniniu dangčiu 8xGN1/3, 180cm",1205.99,Royal Catering,,,,Pilka,65.0,Vitrina,180.0,,,,,Royal Catering
40,"Šaldytuvas Royal Catering Šaldymo vitrina su stikline apsauga, 150 cm",879.99,Royal Catering,,,,,60.0,Vitrina,150.0,,,,,Royal Catering
41,Philco PT 204 EX šaldytuvas,319.99,Philco,Laisvai statomi,E,,Sidabrinė,204.0,Su kamera viršuje,143.0,,,,,Philco
42,Polar šaldytuvas-šaldiklis POB602ES NetNet,305.99,Polar,Laisvai statomi,E,,Sidabrinė,197.0,Laisvai pastatomas,158.8,59.5,65.5,,,Polar
43,"Šaldytuvas Upo F1192 kaappipakastin, valkoinen",179.99,Upo,,,,Balta,,,,0.59,0.6,,,Upo
44,"Įmontuojamas šaldytuvas Liebherr ICBNDI 5183, Peak BioFresh, NoFrost",2278.86,Liebherr,Integruota,,,Pilnai įmontuojama,,,,55.9,54.6,,,Liebherr
45,Šaldytuvas Liebherr Liebherr TP 1410-22 057 Køleskab - Hvid,349.99,Liebherr,,,,Balta,,Be kameros,86.0,0.56,0.63,,,Liebherr
46,Šaldytuvas Philco PTL 3352,529.99,Philco,,,,Balta,,,,,,,,Philco
47,Šaldytuvas su šaldikliu apačioje ETA275590000E Low Frost baltas 150 cm,269.99,ETA,Laisvai statomi,E,,Balta,115.0,Šaldytuvai su šaldikliu apačioje,150.0,,,,,ETA
48,Šaldytuvas Electrolux LNS6TE19S,856.99,Electrolux,Pastatytas,E,Internal touch control LCD,Balta,213.0,Šaldytuvas su apatiniu šaldikliu,188.4,54.0,54.9,213,C,Electrolux
49,Šaldytuvas-šaldiklis combination Ravanson LKK-50ES (inox),109.99,Ravanson,Laisvai statomi,E,,Nerūdijantis plienas,41.0,Laisvai pastatomas,48.5,51.00,45,,,Ravanson
50,"Šaldytuvas Siemens KS36VVXDP iQ300 jääkaappi, musta teräs",714.91,Siemens,,,,Pilka,246.0,Su kamera apačioje,,0.6,0.6,,,Siemens
51,"Šaldytuvas Bosch KGN49OXBT Serie 4 jääkaappipakastin, musta teräs, 2m",2041.70,Bosch,,,,,,,,0.76,0.78,,,Bosch
52,"Šaldytuvas Gastronominis šaldymo stalas, 6 stalčiai, 410 L",2465.99,,,,,,,,,,,,,
53,Royal Catering Atviras gėrimų šaldytuvas ant ratukų 85 l -2-10 °C,639.99,Royal Catering,Laisvai statomi,b,,Balta,85.0,Vitrina,,,,,,Royal Catering
54,190cm laisvai pastatomas šaldytuvas su šaldikliu Indesit LI8 S2E W 1,319.26,Indesit,Laisvai statomi,E,,Balta,228.0,Šaldytuvas-Šaldytuvas,188.9,595 mm,655 mm,,,Indesit
55,Šaldytuvas Electrolux LXB1AE13W0,304.99,Electrolux,Laisvai pastatomos,E,Mechaninis,Balta,134.0,Fridge without freezer,84.5,56.0,57.5,91,C,Electrolux
56,Scandomestic Gėrimų šaldytuvas Scancool,219.99,Scandomestic,Laisvai pastatoma,B,,Juoda,41.0,Mini,74.0,45.0,45.0,,,Scandomestic
57,Šaldytuvas Ravanson LKK-90B (juodas),139,Ravanson,Laisvai statomi,,,Juoda,,,83.0,,,,,Ravanson
58,"Įmontuojamas šaldytuvas BEKO BCSA285K4SN, 177cm",328.60,Beko,Pastatytas,E,Mechaninis,Balta,193.0,Šaldytuvas su apatiniu šaldikliu,177.0,54.0,54.5,225,B,Beko
59,SBS Šaldytuvas HISENSE RS677N4BWE,609.99,Hisense,Laisvai statomi,,,,,,,,,,,Hisense
60,Šaldytuvas Samsung RB38C604DSA,679.99,Samsung,,,,,,Su kamera apačioje,,,,,,Samsung
61,Šaldytuvas Electrolux E6MNTE18S,773.61,Electrolux,,,,,,,,,,,,Electrolux
62,Šaldytuvas Samsung RB33B612EBN,499.99,Samsung,,,,,,Su kamera apačioje,,,,,,Samsung
63,Haier Šaldytuvas HDPW5620DNPD (406L; juodas),639.99,Haier,Laisvai statomi,,,Juoda,406.0,,,,,,,Haier
64,Šaldytuvas HISENSE RT267D4AWE,219.99,Hisense,Laisvai statomi,,,,,,,,,,,Hisense
65,Šaldytuvas Samsung RB34C775CB1,815.99,Samsung,,,,,,Su kamera apačioje,,,,,,Samsung
66,Šaldytuvas HISENSE RT267D4ADE,225.99,Hisense,Laisvai statomi,,,,,,,,,,,Hisense
67,Baltos spalvos 186cm aukščio šaldytuvas be šaldymo kameros Electrolux LRS2DE39W,434.04,Electrolux,Laisvai pastatomos,E,Internal touch control LCD,Balta,390.0,Fridge without freezer,186.0,59.5,63.5,121,C,Electrolux
68,Midea Šaldytuvas | MDRD142FGE01 | Energy efficiency class E | Free standing | Larder | Height 86 cm | Šaldytuvas net capacity 93 L | 41 dB | Baltas,111.99,Midea,Laisvai statomi,E,,Balta,93.0,Be kameros,86.0,,,,,Midea
69,Midea Šaldytuvas | MDRD125FGE01 | Energy efficiency class E | Free standing | Larder | Height 84.5 cm | Šaldytuvas net capacity 68 L | Šaldiklis net capacity 12 L | 41 dB | Baltas,159,Midea,Laisvai statomi,E,,Balta,80.0,Su kamera viduje,84.5,,,,,Midea
70,Šaldytuvas SHARP SJFBB04DTXLEEU,343.51,Sharp,Laisvai statomi,E,,Nerūdijantis plienas,184.0,Laisvai pastatomas,170.0,54,59.5,,,Sharp
71,Įmontuojamas Šaldytuvas BEKO BCNA306E4SN 193cm. HARVESTFRESH,509.99,Beko,Pastatytas,E,Electronical with LCD,Balta,284.0,Šaldytuvas su apatiniu šaldikliu,193.5,54.0,54.5,223,C,Beko
72,Šaldytuvas BEKO TS190340N,169.99,Beko,Laisvai statomi,E,,Balta,85.0,Šaldytuvas-Šaldytuvas,81.8,475 mm,500 mm,,,Beko
73,Šaldytuvas Sharp SJ-FBB02DTXWE-EU,275.99,Sharp,Laisvai statomi,E,,Balta,230.0,Su kamera apačioje,152.0,,,,,Sharp
74,"BEKO Šaldytuvas RCSA270K40SN, Energy class E, Height 171cm, Inox",329.99,Beko,Laisvai pastatomos,E,Mechaninis,pilka,175.0,Šaldytuvas su apatiniu šaldikliu,171.0,54.0,57.4,221,C,Beko
75,"Bosch KIN96VFD0 Serija 4, Įmontuojamasis šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 193.5 x 55.8 cm, plokščias vyris KIN96VFD0",936.70,,Įmontuojami,D,,Balta,290.0,Su kamera apačioje,193.5,,,,,Bosch
76,Šaldytuvas-šaldiklis Hisense RB291D4CDE,299.99,Hisense,Laisvai pastatoma,E,,Sidabrinė,230.0,Su kamera apačioje,161.3,55.0,55.7,,,Hisense
77,Šaldytuvas MPM-90-CJ-27,159.99,MPM,Įmontuojami,E,,Balta,,Be kameros,85.0,,,,,MPM
78,Candy Šaldytuvas | COHS 45EB | Energy efficiency class E | Freestanding | Larder | Height 85 cm | Šaldytuvas net capacity 95 L | Šaldiklis net capacity 14 L | 40 dB | Juodas,186.15,Candy,Laisvai statomi,E,,Juoda,109.0,Šaldytuvas-Šaldytuvas,85.0,550 mm,580 mm,,,Candy
79,Šaldytuvas Samsung BRB30715EWW/EF,647.96,Samsung,Pastatytas,E,Vidinis elektroninis valdymas,Balta,224.0,Šaldytuvas su apatiniu šaldikliu,193.5,54.0,55.0,229,B,Samsung
80,First Austria Mini baras-šaldytuvas First FA-5172 40L,187.80,First Austria,Laisvai statomi,A+,,Juoda,40.0,Mini,57.0,,,,,First Austria
81,Šaldytuvas Indesit SI6 1 S,279.99,,Laisvai statomi,A+,,Sidabrinė,322.0,Be kameros,167.0,,,,,Indesit
82,LG | Šaldytuvas | GBB72SWVGN | Energy efficiency class D | Free standing | Combi | Height 203 cm | No Frost system | Šaldytuvas net capacity 233 L | Šaldiklis net capacity 107 L | Ekranas | 35 dB | Baltas,599.99,LG,Laisvai pastatoma,D,,Balta,384.0,Su kamera apačioje,203.0,59.5,68.2,,,LG
83,"Bosch Bsh Fcli Cerkezkoy Serija 6, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 201 x 60 cm, Šlifuotas plienas, atsparus pirštų atspaudams KGE398IBP",742.48,,Laisvai statomi,A+++,,Sidabrinė,249.0,Su kamera apačioje,201.0,,,,,Bosch
84,"Šaldytuvas Bosch KGN39AIBT 6 serija, Nerūdijančio plieno (atsparus pirštų antspaudams)",1135.99,,Laisvai statomi,B,,Sidabrinė,363.0,Su kamera apačioje,203.0,,,,,Bosch
85,Šaldytuvas Gorenje RK4182PS4,329.99,,Laisvai pastatomos,E,Mechaninis,pilka,198.0,Šaldytuvas su apatiniu šaldikliu,180.0,55.0,55.7,210,C,Gorenje
86,Šaldytuvas Electrolux LFB3AE82R,418.99,Electrolux,Pastatytas,E,Mechaninis,Balta,110.0,Fridge with freezer inside,81.9,59.7,54.5,148,C,Electrolux
87,Šaldytuvas Gorenje NRK418ECS4,369.99,Gorenje,Laisvai pastatomos,E,Vidinis elektroninis valdymas,pilka,256.0,Šaldytuvas su apatiniu šaldikliu,182.4,55.0,55.7,226,C,Gorenje
88,"WHIRLPOOL Šaldytuvas W5 821E W 2, 188,9 cm, E energijos klasė, Stop frost",392.01,Whirlpool,Laisvai statomi,E,,Balta,228.0,Šaldytuvas-Šaldytuvas,188.8,595 mm,655 mm,,,Whirlpool
89,Amica šaldytuvas-šaldiklis BK2665.4(E),409.99,Amica,Įmontuojami,E,,Netaikoma,142.0,Pastatas,157.3,54,54,,,Amica
90,"Šaldytuvas-šaldiklis Bosch KGN33NLEB, 176cm. NoFrost",479.99,,Laisvai statomi,A++,,Sidabrinė,279.0,Su kamera apačioje,176.0,,,,,Bosch
91,"Šaldytuvas su šaldikliu BOSCH KGN33NWEB 176cm., No Frost",456.89,,Laisvai statomi,A++,,Balta,282.0,Su kamera apačioje,176.0,,,,,Bosch
92,Šaldytuvas GORENJE RF212EPW4,198.39,Gorenje,Laisvai pastatomos,E,Mechaninis,Balta,96.0,Fridge with top freezer,117.0,47.5,48.7,163,C,Gorenje
93,Beko TSE1284N šaldytuvas-šaldiklis Pastatomi Balta 120 L A++,163.90,,Laisvai statomi,A++,,Balta,120.0,Su kamera viduje,84.0,,,,,Beko
94,Sharp šaldytuvas-šaldiklis SJ-FBB04DTXWE,329,Sharp,Laisvai statomi,E,,Balta,268.0,Su kamera apačioje,170.0,,,,,Sharp
95,"Bosch 4 serijos įmontuojamas šaldytuvas-šaldiklis su šaldikliu apačioje 177,2 x 54,1 cm KIN86VFE0",875.99,Bosch,Įmontuojami,E,,Sidabrinė,184.0,Su kamera apačioje,177.2,,,,,Bosch
96,Šaldytuvas Samsung BRB30715DWW,799.76,Samsung,Pastatytas,D,Vidinis elektroninis valdymas,Balta,298.0,Šaldytuvas su apatiniu šaldikliu,193.5,54.0,55.0,183,B,Samsung
97,Gorenje | Šaldytuvas | NRK6202AXL4 | Energy efficiency class E | Free standing | Combi | Height 200 cm | No Frost system | Šaldytuvas net capacity 235 L | Šaldiklis net capacity 96 L | Ekranas | 38 dB | Nerūdijantis plienas,499.84,,Laisvai statomi,E,,Sidabrinė,331.0,Su kamera apačioje,200.0,,,,,Gorenje
98,Šaldytuvas BEKO RDSA240K40SN,269.99,Beko,Laisvai statomi,E,,Nerūdijantis plienas,233.0,Šaldytuvas-Šaldytuvas,146.5,540 mm,574 mm,,,Beko
99,Šaldytuvas Samsung RB33J3315SA/EF,474.68,,Laisvai statomi,E,,Pilka,339.0,Su kamera apačioje,185.0,,,,,Samsung
100,Šaldytuvas Electrolux LNS5LE18S,457.43,Electrolux,Pastatytas,E,Electronical with LCD,Balta,271.0,Šaldytuvas su apatiniu šaldikliu,181.0,54.6,54.9,219,B,Electrolux
101,"Šaldytuvas Amica Retro FK2965.3RAA (550mm x 1810mm x 615 mm, 181 l, Class A++, red color)",599.99,Amica,Laisvai statomi,A++,,Raudona,244.0,Su kamera apačioje,181.0,550 mm,615 mm,188 kWh,,Amica
102,Candy Saldainiai | Šaldytuvas | COHS 38E36W | Energijos vartojimo efektyvumo klasė E | Laisvai stovintis | Sandėliukas | Aukštis 85 cm | Šaldytuvas neto talpa 90 L | 39 dB | Baltas,145.08,Candy,Laisvai statomi,E,,Balta,90.0,Be kameros,85.0,Iki 50,,,,Candy
103,"Bosch KGN362IDF Serie | 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 186 x 60 cm, inox-easyclean",661.42,,Laisvai statomi,D,,Sidabrinė,218.0,Su kamera apačioje,186.0,,,,,Bosch
104,"Šaldytuvas Severin, juodas",133.72,Severin,Laisvai pastatoma,E,,Juoda,45.0,Su kamera viduje,47.8,44.5,41.8,,,Severin
105,Šaldytuvas Electrolux ENC8MD19S,880.25,Electrolux,Pastatytas,D,Internal touch control LCD,Balta,192.0,Šaldytuvas su apatiniu šaldikliu,189.4,56.0,55.0,172,D,Electrolux
106,Candy | Šaldytuvas | CCG1L314EW | Energy efficiency class E | Free standing | Combi | Height 144 cm | Šaldytuvas net capacity 109 L | Šaldiklis net capacity 48 L | 39 dB | Baltas,309.99,Candy,Laisvai statomi,E,,Balta,109.0,Laisvai pastatomas,144.0,49.5,47,,,Candy
107,Šaldytuvas Electrolux LRB3AE12S,398.49,Electrolux,Pastatytas,E,Mechaninis,Balta,208.0,Fridge without freezer,121.8,54.8,54.9,101,B,Electrolux
108,Candy Šaldytuvas | COHS 45EW | Energy efficiency class E | Freestanding | Larder | Height 85 cm | Šaldytuvas net capacity 95 L | Šaldiklis net capacity 14 L | 40 dB | Baltas,148.19,Candy,Laisvai statomi,E,,Balta,95.0,"Mini

Su kamera viduje",85.0,,,,,Candy
109,LIEBHERR CUe 2831 Pure Šaldytuvas-šaldiklis,555.99,Liebherr,Laisvai pastatomos,E,Mechaninis,Balta,266.0,Šaldytuvas su apatiniu šaldikliu,161.2,55.0,63.0,192,C,Liebherr
110,Šaldytuvas Gorenje NRK418ECW4,369.99,Gorenje,Laisvai statomi,E,,Balta,256.0,Su kamera apačioje,182.4,,,,,Gorenje
111,Candy Šaldytuvas | CNCQ2T518EW | Energy efficiency class E | Free standing | Combi | Height 182.5 cm | No Frost system | Šaldytuvas net capacity 197 L | Šaldiklis net capacity 82 L | Ekranas | 38 dB | Baltas,329.70,Candy,Laisvai statomi,E,,Balta,197.0,Su kamera apačioje,182.5,,,,,Candy
112,Šaldytuvas Hisense 143cm,285.99,Hisense,Laisvai pastatoma,E,,Sidabrinė,175.0,Su kamera apačioje,143.0,49.5,56.2,,,Hisense
113,Candy | Šaldytuvas | CHASD4351EWC | Energy efficiency class E | Free standing | Larder | Height 51 cm | Šaldytuvas net capacity 42 L | 37 dB | Baltas,105.90,Candy,Laisvai statomi,E,,Balta,42.0,Šaldytuvas,51.0,452 mm,479 mm,,,Candy
114,Luxpol LMB-46C po stalinis šaldytuvas,107.99,Luxpol,Laisvai statomi,E,,Juoda,46.0,Laisvai pastatomas,51.8,47.00,49.5,,,Luxpol
115,Šaldytuvas Whirlpool WBUF011,323.60,Whirlpool,Integruota,E,,Pilnai įmontuojama,108.0,"Mini

Su kamera viduje",81.5,59.6,54.5,,,Whirlpool
116,"BEKO Šaldytuvas RCSA270K40WN, Energy class E, Height 171cm, Baltas",315.99,Beko,Laisvai pastatomos,E,Mechaninis,Balta,175.0,Šaldytuvas su apatiniu šaldikliu,170.8,54.0,57.4,221,C,Beko
117,Šaldytuvas Samsung RB38C675EB1,679.99,Samsung,Laisvai statomi,E,,grafito plieno,276.0,Laisvai pastatomas,203.0,59.5,65.8,,,Samsung
118,"BEKO Šaldytuvas RDSA240K40WN, Energy class E, Height 146.5 cm, Baltas",269.99,Beko,Laisvai statomi,E,,Balta,233.0,Šaldytuvas-Šaldytuvas,146.5,540 mm,574 mm,,,Beko
119,"WHIRLPOOL Šaldytuvas ART9811/A++SF BUILT, 193 cm A++ Baltas, Stop frost",579.99,,Įmontuojami,A++,,Balta,308.0,Su kamera apačioje,193.5,,,,,Whirlpool
120,Šaldytuvas Mini baras GUZZANTI GZ-44,235.99,Guzzanti,Laisvai statomi,A+,,Juoda,40.0,Mini,545.0,,,,,Guzzanti
121,"INDESIT Šaldytuvas LI8 S2E K, E energinė klasė (senas A++), ūgis 189cm, Juodas spalva",345.58,Indesit,Laisvai statomi,E,,Juoda,339.0,Šaldytuvas-Šaldytuvas,188.9,595 mm,655 mm,,,Indesit
122,Įmontuojamas šaldytuvas Beko BCNA275E4SN,492.45,,Įmontuojami,A++,,Balta,254.0,Su kamera apačioje,177.5,,,,,Beko
123,Šaldytuvas BEKO B3RCNA364HXB,449.25,Beko,Laisvai statomi,E,,Sidabrinė,316.0,Su kamera apačioje,187.0,,,,,Beko
124,Šaldytuvas Samsung BRB26715EWW/EF,612.99,Samsung,Pastatytas,E,Vidinis elektroninis valdymas,Balta,193.0,Šaldytuvas su apatiniu šaldikliu,177.5,54.0,55.0,231,B,Samsung
125,Šaldytuvas Whirlpool W5 821E OX,399.99,Whirlpool,Laisvai statomi,E,,Nerūdijantis plienas,339.0,Šaldytuvas-Šaldytuvas,188.9,595 mm,655 mm,,,Whirlpool
126,"Whirlpool laisvai pastatomas šaldytuvas-šaldiklis - W5 721E OX 2, pilkos spalvos",349.28,Whirlpool,Laisvai statomi,E,,Pilka,308.0,Su kamera apačioje,176.3,,,,,Whirlpool
127,Šaldytuvas CANDY CIO 225NE,292.12,Candy,Integruota,F,,Balta,163.0,Su kamera viduje,122.0,54.0,54.0,,,Candy
128,Šaldytuvas BEKO B3RCNA364HXBR,463.90,Beko,Laisvai statomi,E,,Juoda,316.0,Su kamera apačioje,185.0,,,,,Beko
129,Candy | Šaldytuvas | COT1S45ESH | Energy efficiency class E | Free standing | Larder | Height 84 cm | Šaldytuvas net capacity 91 L | Šaldiklis net capacity 15 L | 39 dB | Sidabrinis,158.90,Candy,Laisvai statomi,E,,Pilka,106.0,Su kamera viduje,84.0,50 – 55,,,,Candy
130,Šaldytuvas BEKO BU1154HCN,260.90,Beko,Pastatytas,E,Mechaninis,Balta,92.0,Fridge with freezer inside,82.0,59.5,54.5,145,C,Beko
131,"Įmontuojamas šaldytuvas Bosch KIV86VFE1 4 serija, Baltos spalvos",739.86,,Įmontuojami,A++,,Balta,267.0,Su kamera apačioje,177.2,,,,,Bosch
132,Gorenje Šaldytuvas-šaldiklis NRK6202CLI,749.99,Gorenje,laisvai pastatoma,E,Elektroninis,dramblio kaulo,331.0,Su kamera apačioje,200.0,,,,,Gorenje
133,MPM MPM-182-KB-38W Šaldytuvas,249.89,MPM,Laisvai statomi,E,,Balta,182.0,Su kamera apačioje,142.0,50 – 55,,,,MPM
134,Įmontuojamas šaldytuvas Samsung BRB30615EWW,729,Samsung,Pastatytas,E,Vidinis elektroninis valdymas,Balta,224.0,Šaldytuvas su apatiniu šaldikliu,193.5,54.0,55.0,229,B,Samsung
135,Šaldytuvas GORENJE R619EES5,519.99,Gorenje,Laisvai pastatomos,E,Vidinis elektroninis valdymas,pilka,398.0,Fridge without freezer,185.0,59.5,66.3,123,C,Gorenje
136,Šaldytuvas HISENSE RB343D4CWE 180cm NoFrost,339.99,Hisense,Laisvai pastatoma,E,,Balta,269.0,Su kamera apačioje,180.0,55.0,55.8,,,Hisense
137,Šaldytuvas BEKO BSSA210K4SN,283.80,Beko,Įmontuojami,E,,Balta,175.0,Šaldytuvas-Šaldytuvas,121.5,540 mm,545 mm,,,Beko
138,Šaldytuvas Bosch KIL22NSE0,440.72,Bosch,Įmontuojami,E,,Balta,104.0,Su kamera viduje,87.4,,,,,Bosch
139,LG | Šaldytuvas | GBB72PZEMN | Energy efficiency class E | Free standing | Combi | Height 203 cm | No Frost system | Šaldytuvas net capacity 277 L | Šaldiklis net capacity 107 L | 36 dB | Sidabrinis,599.99,LG,Laisvai statomi,E,,Nerūdijantis plienas,384.0,Su kamera apačioje,203,,,,,LG
140,Šaldytuvas Snaigė C31SM-T1002E1,362.09,Snaigė,Laisvai pastatomos,E,Mechaninis,Balta,296.0,Fridge without freezer,163.0,60.0,65.0,110,C,Snaigė
141,Šaldytuvas SAMSUNG BRB26705DWW,699.99,Samsung,Pastatytas,D,Vidinis elektroninis valdymas,Balta,190.0,Šaldytuvas su apatiniu šaldikliu,177.5,54.0,55.0,185,B,Samsung
142,Šaldytuvas Gorenje RK14EPS4,240.90,,Laisvai statomi,E,,"Sidabrinė

Pilka",175.0,Su kamera apačioje,143.0,,,,,Gorenje
143,Šaldytuvas Snaigė C29SM-T1002E1,331.60,Snaigė,Laisvai pastatomos,E,Mechaninis,Balta,254.0,Fridge without freezer,145.0,60.0,65.0,102,C,Snaigė
