id,title,price,brand,Combined_remas,Combined_paskirtis,Combined_tipai,Combined_skersmuo,Combined_gears,Combined_gearsI
16,"Dviratis Vaast A/1 700C GRX 2X M dydis 54 cm, Amazon Žalias",1335.99,Vaast,,,,,11,11
17,Dviratis 20 elektrinis sulankstomas Engwe Engine X 750Wh raudonas,1199,Engwe,Aliuminis Unisex,,Sulankstomi,20,Shimano 7-pavarų Shimano 7 Išorinės,7 1
18,"Baana Suokki 20 -polkupyörä, 1-vaihteinen, valkoinen",215.99,Baana,,,,,,
19,Mountain bike MMR KUMA 10 - Bright Raudona dydis L / 23/2024,469.99,MMR,aliuminis,,,,,
20,Kalnų dviratis MMR Zen 50 EX SX 1210 - Graphite N Baltas - dydis M / 23/2024,909.99,MMR,aliuminis,,,,,
21,Mountain bike MMR RAKISH 70 - Juodas N Raudona - dydis L / 23/2024,1549.99,MMR,anglies,,,,,
22,"Dviratis Vaast U/1 STREET 650B dydis S 40 cm, juodas",855.99,Vaast,,Moterims,,,,
23,"Dviratis Vaast U/1 STREET 700C, S (40cm), mėlynas (Gloss mėlynas)",839.99,Vaast,,Moterims,,,,
24,"Vaast A/1 650B RIVAL AXS dviratis, mėlynas, L, 54 cm",1779.99,Vaast,,Moterims,,,,
25,Dviratis 20 elektrinis sulankstomas Engwe Engine X 750Wh baltas,1199,Engwe,Aliuminis Unisex,,Sulankstomi,20,Shimano 7-pavarų Shimano 7 Išorinės,7 1
26,"Elektrinis dviratis Fafrees F20 Master, 20"", žalias, 500W, 22,5Ah",1799.99,Fafrees,,,,,7,7
27,Dviratis 28 Bergamont Grandurance Gravel RD 3 juodas,1299,Bergamont,Aliuminis Vyriškas,Vyrams,,28 28,"Shimano Claris, RD-R2000 Shimano Claris, ST-R2000",2
28,Dviratis Merida CROSSWAY 20 juodas-S(47) (Dydis: S(47)),517.93,Merida,Aliuminis S(47) 47 ALLOY,Paaugliams,,28,24,24
29,Kalnų dviratis MMR KUMA 00 - Metallic Matte Mėlyna - dydis XL / 23/2024,529.99,MMR,aliuminis,,,,,
30,Mountain bike MMR ZEN 10 - Metallic Mėlyna N Juodas - dydis S / 23/2024,1235.99,MMR,aliuminis,ES,,,,
31,Mountain bike MMR WOKI 30 - Graphite N Juodas dydis S / 23/2024,689.99,MMR,aliuminis,,,,,
32,Kalnų dviratis MMR RAKISH 70 - Pearlwhite N Juodas - dydis L / 23/2024,1549.99,MMR,anglies,,,,,
33,Kalnų dviratis MMR Rakish 70 EX GX 1275 - Graphite Juodas N Raudona - dydis XL / 23/2024,1409.99,MMR,anglies,ES,,,,
34,Kalnų dviratis MMR Rakish 70 EX GX 1275 - Graphite Juodas N Raudona - dydis M / 23/2024,1409.99,MMR,anglies,ES,,,,
35,Kalnų dviratis MMR Rakish 60 EX - Pearlwhite N Juodas - dydis XL / 23/2024,1539.99,MMR,anglies,ES,,,,
36,MMR MPN,3679.99,MMR,anglies,,,,,34
37,"Elektrinis dviratis GOGOBEST GF600, 1000W, 13Ah, juodas/geltonas",1299.99,Gogobest,,,,,,
38,"Elektrinis dviratis Fafrees F20 Master, 20"", pilkas, 500W, 22,5Ah",1799.99,Fafrees,,,,,7,7
39,"Elektrinis dviratis Fafrees F20 Master 20"", pilkas, 500W, 22,5Ah",1799.99,Fafrees,,,,,,
40,Mountain bike MMR ZEN 30 - Graphite N Baltas - dydis S / 23/2024,989.99,MMR,aliuminis,,,,,
41,Mountain bike MMR RAKISH 70 - Juodas N Raudona - dydis S / 23/2024,1549.99,MMR,anglies,,,,,
42,Mountain bike MMR KUMA 10 - Bright Raudona dydis XL / 23/2024,469.99,MMR,aliuminis,,,,,
43,Mountain bike MMR KUMA 00 - Bright Raudona dydis L / 23/2024,529.99,MMR,aliuminis,,,,,
44,Kalnų dviratis MMR Rakish 60 EX - Graphite Juodas N Raudona - dydis M / 23/2024,1539.99,MMR,anglies,ES,,,,
45,"Elektrinis dviratis GOGOBEST GF600, 1000W, 13Ah, juodas/pilkas",1299.99,Gogobest,,,,,,
46,"Elektrinis dviratis GOGOBEST GF600, 1000W, 13Ah, juodas/žalias",1299.99,Gogobest,,,,,,
47,Kalnų dviratis MMR KUMA 10 - Mettallic Matte Mėlyna - dydis L / 23/2024,469.99,MMR,aliuminis,,,,,
48,Kalnų dviratis MMR RAKISH 70 - Pearlwhite N Juodas - dydis XL / 23/2024,1549.99,MMR,anglies,,,,,
49,Kalnų dviratis MMR KUMA 00 - Metallic Matte Mėlyna - dydis L / 23/2024,529.99,MMR,aliuminis,,,,,
50,Mountain bike MMR RAKISH 90 - Juodas N Raudona dydis S / 23/2024,1355.99,MMR,anglies,ES,,,,
51,Mountain bike MMR RAKISH 70 - Pearlwhite N Juodas - dydis S / 23/2024,1549.99,MMR,anglies,,,,,
52,MMR MPN,529.99,MMR,aliuminis,ES,,,,
53,Road bike MMR GRAND TOUR 30 - Moss Žalias N Juodas - dydis XXL / 23/2024,2299.99,MMR,,,,,,
54,"Dviratis AZIMUT Classic 28"" 2023 baltas",217.90,Azimut,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
55,"Elektrinis dviratis Shengmilo S600, 26"", 2000W, 17,5 Ah SAMSUNG, pilkas",2124.99,Shengmilo,,,,,,
56,Dviratis 20 elektrinis sulankstomas Engwe EP-2 PRO 750Wh juodas,999,Engwe,Aliuminis Unisex,,Sulankstomi,20,Shimano 7-pavarų Shimano 7 Išorinės,7 1
57,Dviratis 20 elektrinis sulankstomas Engwe EP-2 PRO 750Wh pilkas,999,Engwe,Aliuminis Unisex,,Sulankstomi,20,Shimano 7-pavarų Shimano 7 Išorinės,7 1
58,"Dviratis Romet Rambler R6.2 2024 sidabrinis-mėlynas-17"" / M (Dydis: 17"" / M)",368.90,Romet,"Aliuminis 17"" / M 17 ALLOY",,,,21,21
59,"Elektrinis dviratis Kaisda K7, 20"", 350W, 12,5Ah, baltas",849.99,Kaisda,,,,,,
60,Dviratis Romet Rambler 20 KID 2 2024 yellow-pilkas,237.21,Romet,Aliuminis ALLOY,Vaikams,,,6,6
61,"Elektrinis dviratis Fiido C11, 500W, baltas",999.99,Fiido,,,,,,
62,"Elektrinis dviratis DYU C6, 26"", 350W, 12,5Ah, juodas",799.99,DYU,,,,,,
63,"Beany Blaster XC 24 -polkupyörä, valkoinen",489.99,Beany,,,,,,
64,Miesto dviratis STUCCHI 28 FreMont (23S480) mėlynas (20) (23S480BL50) (Atnaujinta),229.99,Stucchi,,"Vyrams
Moterims",,,6,6
65,"Dviratis AZIMUT City Lux 28"" 2023 light mėlynas-baltas",199,Azimut,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
66,"Elektrinis dviratis HX H1, juodas",739.99,,,"Moterims
Vyrams",,,,
67,El. dviratis A20+ Baltas 45/A20PLUSW (Ekspozicinė prekė),839.99,ADO,,,,,,
68,Yubico YubiKey 5C NFC,79.99,,,,,,,
69,"Dviratis Romet Orkan D Lite 28"" 2023 violet-pink-17"" / M (Dydis: 17"" / M)",265.28,Romet,"Aliuminis 17"" / M 17 ALLOY",Moterims,,,7,7
70,"Dviratis Rocksbike AIM 29"", pilkas/mėlynas",275.99,Rocksbike,,Vyrams,,29,21,21
71,"Elektrinis dviratis ADO A20+, Juodas",904.48,ADO,Aliuminis,Suaugusiems,,20,7 7,7 7
72,"Beaster Scooter El. Dviratis BEASTER, BS111B",1131.90,Beaster Scooter,,Moterims,,20,7,7
73,"Dviratis Rocksbike CITY LIFESTYLE 26"", žalias/rudas",262.90,Rocksbike,Lydinys 17.3,"Vyrams
Moterims",,26,SHIMANO RD-TY300 TOURNEY 7 21 3,21 21
74,"Dviratis Romet Orkan M Lite 28"" 2023 juodas-auksinis-21"" / L (Dydis: 21"" / L)",244.90,Romet,"Aliuminis 21"" / L 21 ALLOY",Vyrams,,,7,7
75,"Dviratis Romet Orkan D Lite 28"" 2023 baltas-violet-19"" / L (Dydis: 19"" / L)",265.28,Romet,"Aliuminis 19"" / L 19 ALLOY",Vyrams,,,7,7
76,"Huffy Extent 24"" Kalnų dviratis, Shimano TZ 31, Violetinė",229.99,Huffy,,Vyrams,,24,18,18
77,Yubico Saugos raktas - YubiKey 5Ci,94.15,Yubico,,,,,,
78,"Dviratis Romet Art Deco Eco baltas-20"" / L (Dydis: 20"" / L)",569,Romet,"Aliuminis 20"" / L 20 ALLOY","Moterims
Vyrams",,28,3,3
79,"Dviratis AZIMUT Classic 28"" 2023 bordo",218,Azimut,HI-TEN STEEL Plienas,Suaugusiems,,28,Nėra 1 Nėra 1,1 1
80,"Dviratis AZIMUT Retro 28"" 2023 cream",217.80,Azimut,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,26,1,1
81,"Dviratis AZIMUT Julie 24"" 2023 pink-baltas",222.80,Azimut,HI-TEN STEEL HI-TEN STEEL,Vaikams,,24,,
82,Dviratis ergometras TUNTURI Performance E60,458.99,Tunturi,,,,,,
83,"Dviratis Romet Art Deco Classic 28"" Alu 2022 pilkas-20"" / L (Dydis: 20"" / L)",447.75,Romet,"Aliuminis 20"" / L 20 ALLOY",Paaugliams,,28,3,3
84,"Dviratis 14"" elektrinis sulankstomas Engwe T14 480Wh baltas",699,Engwe,Plieninis Unisex,,Sulankstomi,14 14,Nėra Mechaninė pavarų rankenėlė Išorinės,1 priekinė žvaigždė
85,"Dviratis 29"" elektrinis Bulls Allground EVO 500Wh wave 9g raudonas",3599,Bulls,Aliuminis Vyriškas,,Vieta,29 29,"Shimano Alivio, 9 greičių Shimano Alivio Išorinės",1
86,"Dviratis Romet Rambler KID 2 20"" Alu 2022 baltas-žalias",224.90,Romet,Aliuminis ALLOY,"Vyrams
Moterims",,20,6,6
87,Dviratis Dviratis Cube Numove 240 juodas'n'oranžinis 2025,588.90,Cube,Aliuminis ALLOY,"Moterims
Vyrams",,,8,8
88,"Elektrinis dviratis ADO A20 AIR, Kreminis baltas",1092.33,ADO,,"Moterims
Vyrams",,20,,
89,Dviratis 28 Pegasus Strong SL 8 8g juodas,1199,Pegasus,Aliuminis Unisex,Vyrams,Vieta,"28 28""",SHIMANO Nexus SG-C6001-8CD SHIMANO Nexus SL-C6000-8 Revo Shifter 8 Vidinės,8 1
90,Dviratis 14 elektrinis sulankstomas Engwe T14 480Wh pilkas,699,Engwe,Plieninis Unisex,,Sulankstomi,14,Nėra Mechaninė pavarų rankenėlė Išorinės,1 priekinė žvaigždė
91,Dviratis 14 elektrinis sulankstomas Engwe T14 480Wh mėlynas,699,Engwe,Plieninis Unisex,,Sulankstomi,14,Nėra Mechaninė pavarų rankenėlė Išorinės,1 priekinė žvaigždė
92,"Elektrinis dviratis ADO A16 XE, Juodas",592.42,ADO,,"Moterims
Vyrams",,,,
93,Qplay Rito Plus pilkas triratis dviratis,91.99,Qplay,,,,,,
94,"Dviratis Romet Orkan D 28"" 2022 violetinė-rožinė-17"" / M (Dydis: 17"" / M)",288.80,Romet,"Aliuminis 17"" / M 17 ALLOY",Paaugliams,,28,21,21
95,"Beaster Scooter El. Dviratis BEASTER, BS113B",979.90,Beaster Scooter,,"Moterims
Vyrams",,20,7,7
96,"Dviratis Cube Reaction C:62 ONE 29 carbon'n'baltas 2023-23"" / 29 / XXL (Dydis: 23"" / 29 / XXL)",1398.90,Cube,"CARBON 23"" / 29 / XXL 23 CARBON",Vyrams,,23,12,12
97,"Dviratis Romet Rambler R7.4 27.5"" 2023 baltas-auksinis-20"" / XL (Dydis: 20"" / XL)",579,Romet,"Aliuminis 20"" / XL 20 ALLOY",Paaugliams,,27.5,,
98,"Dviratis Romet Rambler R6.1 26"" 2022 juodas-yellow-19"" / L (Dydis: 19"" / L)",259.95,Romet,"Aliuminis 19"" / L 19 ALLOY",Paaugliams,,,21,21
99,"Beaster Scooter El. Dviratis BEASTER, BS95",1268.90,Beaster Scooter,,"Moterims
Vyrams",,,3,3
100,Dviratis 20 elektrinis sulankstomas Engwe Engine PRO 2.0 832Wh mėlynas,1499,Engwe,Aliuminis Unisex,,Sulankstomi,20,Shimano Altus 8-pavarų Shimano Altus Išorinės,1
101,Dviratis 26 elektrinis sulankstomas Engwe X26 1200Wh dviguba baterija juodas,1899,Engwe,Aliuminis Unisex,"Moterims
Vyrams",Kalnų MTB,26,Shimano Altus 8-speed Shimano Altus Išorinės,1
102,"Elektrinis dviratis ADO D30C, Pilkas",1139.90,Himo,Aliuminis,Suaugusiems,,27.5,,
103,"Dviratis Romet Vintage Classic M 28"" Alu 2022 red-18"" / M (Dydis: 18"" / M)",321.42,Romet,"Aliuminis 18"" / M 18 ALLOY","Moterims
Vyrams",,28,3,3
104,Dviratis Romet Wigry Eco 2024 baltas,389,Romet,HI-TEN STEEL HI-TEN STEEL,,,,6,6
105,Dviratis Merida BIG.NINE 20-2X teal-mėlynas-L(18.5) (Dydis: L(18.5)),531.96,Merida,Aliuminis L(18.5) 18.5 ALLOY,Vyrams,,29,8,8
106,Dviratis Karbon Rocket ALU 16 red-juodas,216,Karbon,Aliuminis ALLOY,Vaikams,,,1,1
107,"Dviratis Romet Rambler R6.3 2024 baltas-auksinis-18"" / L (Dydis: 18"" / L)",391.60,Romet,"Aliuminis 18"" / L 18 ALLOY","Moterims
Vyrams",,,24,24
108,"Elektrinis dviratis ADO A20 AIR, Mėlynas",1106.24,ADO,,"Moterims
Vyrams",,20,,
109,Dviratis 26 elektrinis Engwe E26 ST moteriškas 750Wh juodas,1399,Engwe,Aliuminis Moteriškas,Moterims,Kalnų MTB,26,Shimano Tourney 7-speed Shimano Tourney 7 Išorinės,7 1
110,"Dviratis AZIMUT City Lux 28"" 2023 baltas-mint",239,Azimut,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
111,Žalias reguliuojamas vienaratis 16 col.,86.40,vidaXL,,,,,1,1
112,Dviratis Cube Cubie 160 actionteam 2023,368.90,Cube,Aliuminis ALLOY,"Moterims
Vyrams",,,1,1
113,WeeRide Pro-Pilot prijungiamas dviratis,285.99,WeeRide,,Vaikams,,,,
114,"Dviratis AZIMUT Julie 24"" 2023 baltas-turquoise",232,Azimut,HI-TEN STEEL HI-TEN STEEL,Vaikams,,24,,
115,"Dviratis AZIMUT Retro 28"" 2023 baltas",218,Azimut,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
116,"Dviratis AZIMUT Sarema ALU 28"" 3-speed 2023 pink shiny",399,Azimut,Aliuminis 28 ALLOY,Moterims,,28,3,3
117,"Dviratis Cube Aim Race 27.5 juodas'n'azure 2023-14"" / 27.5 / XS (Dydis: 14"" / 27.5 / XS)",585.30,Cube,"Aliuminis 14"" / 27.5 / XS 14 ALLOY",Paaugliams,,14,8,8
118,"Dviratis Romet Rambler R6.4 26"" 2023 baltas-auksinis-20"" / XL (Dydis: 20"" / XL)",509,Romet,"Aliuminis 20"" / XL 20 ALLOY",Vyrams,,26,,
119,"Dviratis Romet Sonata Eco 28"" Alu 2022 šampano kilimėlis-20"" / L (Dydis: 20"" / L)",348.90,Romet,"Aliuminis 20"" / L 20 ALLOY",Paaugliams,,28,6,6
120,Elektrinis dviratis ADO A26S XE Step-through baltas,1113.20,ADO,,"Moterims
Vyrams",,,,
121,"Beaster Scooter El. Dviratis BEASTER, BS90",1153.90,Beaster Scooter,,"Moterims
Vyrams",,,3,3
122,"Dviratis AZIMUT Vintage TX-7 28"" 2023 cream-ruda semi-matt",282.18,Azimut,HI-TEN STEEL 17 HI-TEN STEEL,Moterims,,28,7,7
123,Dviratis Merida BIG.NINE 15 matt dark sidabrinis-L(19) (Dydis: L(19)),578.90,Merida,Aliuminis 19'' 19 Aliuminis,Suaugusiems,,29,Shimano RD-M310 8 Shimano FD-TY700 24,8 24
124,"Huffy Extent 27.5"" Moteriškas dviratis, Shimano TZ 31, Violetinė",287.01,Huffy,,Vaikams,,,,
125,"Zundapp Z810z electric bike, 20.5 inch frame, aluminum, 28"" wheel, 250 W Elektrinis dviratis",1799,Zündapp,"20,5 inch Aliuminis",,,,Shimano Altus 24 Shimano,24
126,"Elektrinis dviratis DYU T1, 20"", 250W, 10Ah, pilkas",1019.99,DYU,,,,,,
127,"Elektrinis dviratis Samebike CY20, 20"", 350W, 12Ah, baltas",999.99,Samebike,,,,,,
128,"Elektrinis dviratis Samebike CY20, 20"", 350W, 12Ah, mėlynas",999.99,Samebike,,,,,,
129,"Elektrinis dviratis DYU D3F, 14"", 250W, 10Ah, juodas",529.99,DYU,,,,,,
130,"Elektrinis dviratis DYU C6, 26"", 350W, 12,5Ah, baltas",799.99,DYU,,,,,,
131,"Elektrinis dviratis Shengmilo MX04, 26"", 500W, 15Ah LG, pilkas",1529.99,Shengmilo,,,,,7,7
132,"Elektrinis dviratis Fiido T2, 20"", 750W, pilkas",2149.99,Fiido,,,,,,
133,"Elektrinis dviratis DYU A16, 16"", 350W, juodas",699.99,DYU,,,,,,
134,"Elektrinis dviratis Engwe LE20, 20"", 250W, 19,2Ah, pilkas",1799.99,Engwe,,,,,,
135,"Elektrinis dviratis Fiido L3, 350W, 14"", 23,2Ah, juodas",999.99,Fiido,,,,,,
136,"Elektrinis dviratis Laifook Seeker S, 26"", 250W, 9Ah, baltas",774.99,Laifook,,Paaugliams,,26,,
137,"Elektrinis dviratis Laifook Seeker, 26"", 250W, 9Ah, mėlynas",774.99,Laifook,,Paaugliams,,26,,
138,"Elektrinis dviratis Cysum CityRun, 26"", 250W, 10Ah, žalias",799.99,Cysum,,,,,,
139,"Elektrinis dviratis Cmacewheel K20, 20"", 750W, 17Ah, juodas",1419.99,Cmacewheel,,,,,,
140,"Elektrinis dviratis DYU KING 750 26"", 750W, 20Ah LG, juodas",1529.99,DYU,,,,,,
141,"Elektrinis dviratis Laifook Seeker, 26"", 250W, 9Ah, juodas",774.99,Laifook,,Paaugliams,,26,,
142,"Elektrinis dviratis Engwe L20 Boost 20"", 250W, 13Ah, mėlynas",1299.99,Engwe,,,,,,
143,"Elektrinis dviratis DYU C6 PRO, 26"", 250W, 15,6Ah, baltas",999.99,DYU,,,,,,
144,"Elektrinis dviratis ENGWE M1, 20"", 250W, 28,6Ah, geltonas",1399.99,Engwe,,,,,,
146,Dviratis Merida BIG.NINE 60-2X matt dark sidabrinis-L(18.5) (Dydis: L(18.5)),799,Merida,Aliuminis L(18.5) 18.5 ALLOY,Vyrams,,29,18,18
147,Dviratis Merida CROSSWAY 20 matt burgundy red-S(47) (Dydis: S(47)),531.96,Merida,Aliuminis S(47) 47 ALLOY,Vaikams,,28,24,24
148,"GZR Progressiv-e CF 23 sähköpyörä, 19 (L)",5175.99,GZR,,Vyrams,,,,
149,"The-sliders Metro Raudona skoninga ir patogi, lankstymo dviratis, motoroleris 2in1",699.99,The Sliders,,"Moterims
Vyrams",,,3,3
150,"The-sliders Metro Juodas skoningas ir patogus, lankstymo dviratis, motoroleris 2in1",699.99,The Sliders,,"Moterims
Vyrams",,,3,3
151,Dviratis Romet Wigry Classic 2024 pilkas,529,Romet,Aliuminis ALLOY,,,,3,3
152,Dviratis Karbon Niki 14 lime-juodas,189,Karbon,HI-TEN STEEL HI-TEN STEEL,Vaikams,,14,1,1
153,Dviratis Merida Crossway 20 III1 juodas(sidabrinis)-43 cm / XS (Dydis: 43 cm / XS),669,Merida,Aliuminis 43 cm / XS ALLOY,,,,,
154,"Dviratis Unibike Fusion Lady 29 2024 juodas-turquoise-17"" (Dydis: 17"")",869,Unibike,"Aliuminis 17"" 17 ALLOY",,,17,,
155,Dviratis Cube Reaction 200 Pro teamline 2023,672.32,Cube,Aliuminis ALLOY,Vaikams,,,9,9
156,"Giant Talon 3-GE -maastopyörä, M, musta",499.99,Giant,,,,,,
157,"Dviratis Romet Wagant 2 2024 pilkas-graphite-23"" / XL (Dydis: 23"" / XL)",411.25,Romet,"Aliuminis 23"" / XL 23 ALLOY",Paaugliams,,27,21,21
158,Dviratis Unibike Dart 20 2024 red,529,Unibike,Aliuminis ALLOY,Vaikams,,,,
159,Dviratis Karbon Alvin 18 mėlynas-red,198,Karbon,HI-TEN STEEL HI-TEN STEEL,Vaikams,,18,1,1
160,"Dviratis AZIMUT City Lux 28"" 2023 light cream",239,Azimut,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
161,Dviratis Dviratis Cube Acid 200 Allroad deepcobalt'n'apple 2025,429,Cube,Aliuminis ALLOY,Vaikams,,,,
162,Dviratis Cube Cubie 160 RT pilkas'n'red 2023,321.42,Cube,Aliuminis ALLOY,Vaikams,,,1,1
163,"Elektrinis dviratis Cube Reaction Hybrid Performance 500 Trapeze 29 juodas'n'pilkas 2023-20"" / 29 / L (Dydis: 20"" / 29 / L)",2005.74,Cube,"Aliuminis 20"" / 29 / L 20 ALLOY",,,20,9,9
164,"Elektrinis dviratis Cube Reaction Hybrid Pro 625 29 flashgrey'n'žalias 2023-19"" / 29 / L (Dydis: 19"" / 29 / L)",2454.90,Cube,"Aliuminis 19"" / 29 / L 19 ALLOY",Vyrams,,19,11,11
165,"Elektrinis dviratis Cube Reaction Hybrid Performance 625 29 juodas'n'pilkas 2023-20"" / 29 / L (Dydis: 20"" / 29 / L)",2104,Cube,"Aliuminis 20"" / 29 / L 20 ALLOY",Vyrams,,20,9,9
166,"Dviratis Unibike Flash LDS 2024 juodas-19"" (Dydis: 19"")",659,Unibike,"Aliuminis 19"" 19 ALLOY",,,19,,
167,Dviratis Romet Jubilat Eco 2024 mėlynas,409,Romet,Aliuminis ALLOY,,,,6,6
168,Dviratis Merida Big.Nine 20 VI1 baltas(violetinė)-37 cm / S (Dydis: 37 cm / S),679,Merida,Aliuminis 37 cm / S ALLOY,,,,,
169,"Dviratis Romet Rambler R6.1 2024 dark mėlynas-lemon-19"" / L (Dydis: 19"" / L)",321.42,Romet,"Aliuminis 19"" / L 19 ALLOY",,,,7,7
170,"Dviratis Romet Rambler R6.0 2024 juodas-oranžinis-red-19"" / L (Dydis: 19"" / L)",297.56,Romet,"Aliuminis 19"" / L 19 ALLOY",,,,21,21
171,"Dviratis Embassy Baby Powder ALU 26"" 3-speed 2024 pastel pink",599,Embassy,Aliuminis ALLOY,Paaugliams,,26,3,3
172,Dviratis 28 BERGAMONT Gravel s GRANDURANCE ELITE dark mėlynas bergamont,3299,Bergamont,Karboninis Gravel​,,,28,"Shimano GRX RD-RX812, 11 pavarų Shimano GRX ST-RX810, 11 pavarų",1
173,"Dviratis Royal Baby BELT Lite 18"" sidabrinis",369,Royal Baby,Aliuminis ALLOY,Vaikams,,,,
174,Dviratis Karbon Star ALU 14 pink,207,Karbon,Aliuminis ALLOY,Vaikams,,,1,1
175,Dviratis Karbon Niki 14 mėlynas-red,189,Karbon,HI-TEN STEEL HI-TEN STEEL,Vaikams,,,1,1
176,"Elektrinis dviratis Cube Reaction Hybrid Performance 625 29 swampgrey'n'juodas 2023-22"" / 29 / XL (Dydis: 22"" / 29 / XL)",2174.18,Cube,"Aliuminis 22"" / 29 / XL 22 ALLOY","Moterims
Vyrams",,22,9,9
177,Dviratis Cube Nature shinymoss'n'juodas 2024-50 cm / S (Dydis: 50 cm / S),729,Cube,Aliuminis 50 cm / S ALLOY,,,,8,8
178,"Dviratis Romet Orkan 3 M 28"" 2023 sidabrinis-juodas-20"" / L (Dydis: 20"" / L)",419.68,Romet,"Aliuminis 20"" / L 20 ALLOY",Paaugliams,,,,
179,"Dviratis Romet Wagant 5 28"" 2023 navy mėlynas-sidabrinis-19"" / M (Dydis: 19"" / M)",489.86,Romet,"Aliuminis 19"" / M 19 ALLOY",Paaugliams,,,,
180,Dviratis Romet Aspre 1 2024 sidabrinis-red-58 cm / XL (Dydis: 58 cm / XL),728.47,Romet,Aliuminis 58 cm / XL ALLOY,,,,16,16
181,Dviratis Cube Nature Trapeze graphite'n'juodas 2023-46 cm / XS (Dydis: 46 cm / XS),644.25,Cube,ALLOY 46 cm / XS ALLOY,Paaugliams,,,8,8
182,"Dviratis Romet Wagant 4 2024 sidabrinis-juodas-19"" / M (Dydis: 19"" / M)",489.86,Romet,"Aliuminis 19"" / M 19 ALLOY",Paaugliams,,27,21,21
183,"Dviratis Unibike Flash EQ GTS 2024 juodas-21"" (Dydis: 21"")",709,Unibike,"Aliuminis 21"" 21 ALLOY",,,21,,
184,Dviratis Merida Big.Seven 20 VI1 baltas(violetinė)-44 cm / M (Dydis: 44 cm / M),669,Merida,Aliuminis 44 cm / M ALLOY,,,,,
185,"Dviratis Unibike Viper LDS 2024 juodas-19"" (Dydis: 19"")",1079,Unibike,"Aliuminis 19"" 19 ALLOY",,,19,,
186,Dviratis Karbon BMX 20 juodas-mėlynas,219,Karbon,HI-TEN STEEL HI-TEN STEEL,Vaikams,,20,1,1
187,"Dviratis Romet Orkan D 2024 violet-pink-19"" / L (Dydis: 19"" / L)",349.50,Romet,"Aliuminis 19"" / L 19 ALLOY",Paaugliams,,28,21,21
188,"Elektrinis dviratis Cube Reaction Hybrid Performance 500 29 swampgrey'n'juodas 2023-24"" / 29 / XXL (Dydis: 24"" / 29 / XXL)",2005.74,Cube,"Aliuminis 24"" / 29 / XXL 24 ALLOY",Vyrams,,24,9,9
189,"Dviratis Romet Rambler R7.3 2024 dark mėlynas-oranžinis-18"" / M (Dydis: 18"" / M)",470.21,Romet,"ALLOY 18"" / M 18 ALLOY",,,,24,24
190,"Dviratis Cube Acid 29 metalolive'n'juodas 2023-20"" / 29 / L (Dydis: 20"" / 29 / L)",1023.22,Cube,"Aliuminis 20"" / 29 / L 20 ALLOY",Vyrams,,20,12,12
191,"Dviratis Romet Rambler R6.0 2024 mėlynas-lemon-17"" / M (Dydis: 17"" / M)",297.56,Romet,"Aliuminis 17"" / M 17 ALLOY",,,,21,21
192,Dviratis Cube Nature SLX pilkas'n'juodas 2023-50 cm / S (Dydis: 50 cm / S),1402.20,Cube,ALLOY 50 cm / S ALLOY,,,,10,10
