,id,title,price,brand,Combined_ekrano_rai,Combined_ekrano_dyd,Combined_ekrano_įs,Combined_ekrano_t,Combined_gps,Combined_vidinė,Combined_svor,Combined_g4g
29,30,"Planšetė Samsung Galaxy Tab A9+ WIFI, 128GB, 11 col., Pilkos spalvos",225.99,,1200 x 2000,"10,4""","10"" - 10,9",IPS,,64 64,"0,460 0.8",
30,31,Planšetė Lenovo MPN,275.99,Lenovo,,,10.4,,,64,0.66,
31,32,"Teclast Planšetė T65Max 13"" 8/256 GB WIFI (pilka)",269.99,Teclast,2064 x 2752,"13""","13"" - 13,9","Ultra Retina Tandem OLED, 120 Hz, HDR10, Dolby Vision, 1000 nitų (HBM), 1600 nitų",,256 256,"0,579 0.96",
32,33,"Planšetė Kruger & Matz KM1074 10,4 Unisoc Tiger T618 4 GB RAM 64 GB Grafito",109.99,Kruger & Matz,2160 x 1620,"10,2""","10"" - 10,9",Retina IPS True Tone,,64 64,"0,487 0.896",
33,34,"Planšetė Planšetinis Kompiuteris - Samsung Tab S6 Lite Sm-p620 4+64gb 10.4"" DS WiFi Oxford Gray",265.99,Samsung,2304 x 1440,"10,9""","10"" - 10,9","IPS LCD, 90Hz",,128 128,"0,523 0.9",
34,35,"iPad Pro 13"" M4 WiFi 256GB with Standard glass - Silver",1499.99,Apple,1640 x 2360,"10,9""","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų (tipas), tikro tono",,64 64 GB,"0,458 0.905",
35,36,"Planšetė Apple iPad 10,2 colio Wi-Fi 64GB Kosminė pilka, 9th Gen (2021)",359.99,Apple,,13.0,13.0,IPS,,128.0 128,617.0,
36,37,"Planšetinis kompiuteris Samsung X516B Galaxy Tab S9 FE 10.9 5G 128GB, Pilkos spalvos",529,Samsung,2160 x 1620,"10,2""","10"" - 10,9",Retina IPS True Tone,,64 64,"0,487 0.896",
37,38,"Planšetė Apple iPad Air 10.9'' Wi-Fi 64GB, Violetinis (Violetinė) 5th Gen (2022)",639.99,Apple,,,"1,3""",,,256 256,442,Ne Ne
38,39,"Planšetė Apple iPad Air 13"" M2 Wi-Fi 128GB - Kosminė pilka",929.99,Apple,,,8.0,,,128,,
39,40,"Planšetė „Apple iPad“ 10,2 colio „Wi-Fi“ 64 GB – sidabrinė, 9 kartos (2021 m.)",359.99,Apple,,,10.4,,,64,,
40,41,"Blackview Planšetė Tab 11 WiFi, 10.36'', 8/256GB, Žalia spalva",209.99,Blackview,1488 x 2266,"8,3""","8"" - 8,9",Retina IPS True Tone,,64 64,"0,293 0.652",
41,42,"Samsung GALAXY Tab Active5 EE 8"" WIFI 128GB juodas/žalias Android 14.0 Planšetė",439,Samsung,,,,,,,,
42,43,"Planšetė Huawei MatePad SE 10.4"" 2K 4/64GB WiFi, Juodos spalvos",179.99,Huawei,,,10.3,,,256,442,Nr Nr
43,44,"Planšetė Apple iPad mini Wi-Fi 64GB Kosminė pilka, 6th Gen (2021)",649.99,Apple,,,10.1,,,,,
44,45,Planšetė Samsung Galaxy Tab A7 Lite WiFi 32 GB SM-T220N Tamsiai pilka (Ekspozicinė prekė),129,,1640 x 2360,"10,9 colių 1640 x 2360 Skystas tinklainės IPS LCD, 500 nitų","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų",,256 256,"0,477 0.896",
45,46,"Planšetė Blackview Tab 11 10,3"" 256 GB 4G LTE žalia (TAB11Wifi-256-GN / BV) (Pažeista pakuotė)",179.99,Blackview,1640 x 2360,"10,9""","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų (tipas), tikro tono",,64 64 GB,"0,458 0.905",
46,47,"Planšetė Planšet. Denver TIQ-10394 10.1"" 1/32GB B (Ekspozicinė prekė)",91.99,,,10.4,10.4,TFT,,64.0 64,467.0,
47,48,"Planšetė Apple iPad 10,9"" Wi-Fi 256GB – mėlyna 10 gen",784.95,Apple,,,11.0,,,256,,
48,49,"Planšetė Apple iPad Air 10.9'' Wi-Fi 64GB, Rožinis (Rožinė) 5th Gen (2022)",784.95,Apple,2048 x 2732 120 Hz,12.9 Skystas tinklainės XDR 120 Hz 2732 x 2048 LED,"12"" - 12,9",Skystas Retina XDR mini-LED LCD,,256 256 GB,"0,682 1",
49,50,"Planšetė Samsung Galaxy Tab S6 Lite 10.4"" Wifi 64GB Gray (SM-P613N) With S PEN",285.99,Samsung,,11,11.0,,,128 128,"0,80000 500",Taip Taip
50,51,"Planšetė Redmi Pad SE 11"" 8GB / 256GB Wi-Fi, pilkos spalvos",186,Xiaomi,2160 x 1620,"10,2 colių 2160 x 1620 Retins IPS True Tone","10"" - 10,9",Retina IPS True Tone,,256 256 GB,"0,487 0.896",
51,52,"Planšetė Apple iPad Pro 12,9"" Wi-Fi 256GB – Kosminė pilka 6th Gen",1179.10,Apple,,,"14.6 "" 37,1 cm",,,256,,
52,53,"Planšetė GALAXY TAB S9 11""/128GB 5G BEIGE SM-X716 SAMSUNG",745.53,Samsung,,,"11 "" 27,9 cm",,,256,,
53,54,"Planšetė „Apple iPad“ 10,2 colio „Wi-Fi“ 256 GB – sidabrinė, 9 kartos (2021 m.)",528.36,Apple,,,14.6,,,,,
54,55,"Planšetė Samsung SM-X910NZEAEUB 12 GB RAM 14,6 256 GB Rusvai gelsva",1055.08,Samsung,,,14.6,,,,,
55,56,Planšetė Samsung SM-X700N Qualcomm Snapdragon 8 Gen 1 11,1025.99,Samsung,,,13.0,,,,1.5,
56,57,"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Platinum Sidabrinis 14,6"" / Octa-Cora / 12GB RAM / 256GB Atmintis",1279.99,Samsung,,,,,,,1.453,
57,58,"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Platinum Sidabrinis 14,6"" / Octa-Cora / 16GB RAM / 1TB Atmintis",1809.99,Samsung,2800 x 1752,"12,4",,,,256 GB,0.1950 0.4550 0.65 0.65 0.65,Taip Taip
58,59,Planšetė Microsoft B2B: „Surface Pro 10 Platin 13“ 2in1 Ultra 7 165U 32GB / 512GB SSD Win11 Pro,2339.99,Microsoft,,,,,,,,
59,60,"MSI Handheld Claw A1M-059 7"" Touch Intel® Core™ Ultra 7 155H, 16GB, 1TB, Win11Home",879.99,MSI,,"14,6",,Dinaminis AMOLED 2X,,1000,"0,80000 718",
60,61,Planšetė Samsung Galaxy Tab S10+ 5G 12/256GB SM-X826B Sidabrinis,1109.99,Samsung,,,12.4,,,,,
61,62,"Planšetė GALAXY TAB S10 ULTRA 5G/14"" 512GB SILV SM-X926 SAMSUNG",1389.99,Samsung,,,14.6,,,,,
62,63,Planšetė Samsung Galaxy Tab S10 Ultra 14.6 WiFi 1TB grafito (X920) rysik S-Pen,1505.99,Samsung,,,12.4,,,,,
63,64,"Planšetė Samsung X820N Galaxy Tab S10+ Wi-Fi Platinum Sidabrinis 12,4"" / Octa-Cora / 12GB RAM / 256GB Atmintis",1119.99,Samsung,,10.2,10.2,IPS,,256.0 256,498.0,
64,65,"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Platinum Sidabrinis 14,6"" / Octa-Cora / 12GB RAM / 512GB Atmintis",1495.99,Samsung,,"12,4",,Dinaminis AMOLED 2X,,256,"0,70000 571",
65,66,"Planšetė Samsung X820N Galaxy Tab S10+ Wi-Fi Platinum Sidabrinis 12,4"" / Octa-Cora / 12GB RAM / 512GB Atmintis",1245.99,Samsung,,,14.5,,,256,,
66,67,"Planšetė „Apple iPad“ 10,2 colio „Wi-Fi“ + 256 GB mobilusis ryšys – sidabrinis, 9 kartos (2021 m.)",670.57,Apple,,,,,,,1.640000,
67,68,"Planšetė GALAXY TAB S10+/12"" 256GB Pilkas SM-X820 SAMSUNG",979.99,Samsung,,,"12.4 "" 31,5 cm",,,64,,
68,69,"Planšetė Lenovo | Tab | Extreme TB570FU | 14.5 "" | Storm Pilkas | OLED | 3000 x 1876 pikselių | MediaTek Dimensity 9000 | 12 GB | Soldered LPDDR5x | 256 GB | Wi-Fi | Front camera | 13 MP | Rear camera | 13+5 MP | Bluetooth | 5.3 | Android | 13 | Garantija 24 mėn.",1069.99,Lenovo,,,11.0,,,2000,,
69,70,"Planšetė Zebra ET80, 2D, USB, USB-C, BT, Wi-Fi, NFC, Win. 10 Pro",3580.96,Zebra,,,"10,1''",,,128 128,484,Integruota Integruota
70,71,Samsung GALAXY Tab S7 FE T733N WiFi 64GB mystic pink Android 11.0 Planšetė,555.99,Samsung,,,,,,,,
71,72,"Planšetė Apple iPad Pro 11"" Wi-Fi 2TB - Space Gray 4th Gen",1609.99,Apple,,,14.6,,,,,
72,73,"Blackview Planšetė TAB 80 LTE 8/128GB 7680 mAh 10,1 cala mėlyna",154.50,Blackview,,,"10.1 "" 25,7 cm",,,32,,
73,74,"Planšetė GALAXY TAB S10 ULTRA 5G/14"" 1TB GRAY SM-X926 SAMSUNG",1685.99,Samsung,1920x1200,"11.0""",10.0,IPS LCD,,256 GB,"0,93 kg 0,512 kg 0,93 kg 0,512 kg",
74,75,"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Moonstone Pilkas 14,6"" / Octa-Cora / 16GB RAM / 1TB Atmintis",1799.99,Samsung,,,14.6,,,256,,
75,76,"Planšetė Hannspree HANNSpad Apollo 2 10.1"" 32 GB Juodas (SN1ATP5B)",165.99,HANNSPREE,,"31,5 cm (12,4 colio)",12.4,,,512,581 g,
76,77,"Planšetė TAB9 WIFI 10"" 256GB/TAB 9 WIFI GRAY BLACKVIEW",179.99,Blackview,,,,,,,,
77,78,"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Moonstone Pilkas 14,6"" / Octa-Cora / 12GB RAM / 256GB Atmintis",1279.99,Samsung,,"14,6",14.6,Dinaminis AMOLED 2X,,512,"0,80000 718",
78,79,"Planšetė Samsung 12 GB RAM 512 GB 12,4",1129.99,Samsung,,,12.4,,,512,0.9,
79,80,"Planšetė GALAXY TAB S10+ 5G/12"" 512GB Pilkas SM-X826 SAMSUNG",1189.99,Samsung,,"12,4",,Dinaminis AMOLED 2X,,512,"0,70000 571",
80,81,"Planšetė GALAXY TAB S10 ULTRA/14"" 512GB Pilkas SM-X920 SAMSUNG",1145.99,Samsung,,"37,0 cm (14,6 colio)",14.6,,,512,730 g,
81,82,"Planšetė Samsung X826B Galaxy Tab S10+ 5G Moonstone Pilkas 12,4"" / Octa-Cora / 12GB RAM / 512GB Atmintis",1319.99,Samsung,,,"14.6 "" 37,1 cm",,,256,,
82,83,"Planšetė GALAXY TAB S10+/12"" 512GB Pilkas SM-X820 SAMSUNG",1029.99,Samsung,,,13.0,,,,,
83,84,"Planšetė Samsung S9 ULTRA X916 5G 12 GB RAM 14,6 256 GB",1262.16,Samsung,,,,,,,"1,00000",
84,85,"Planšetė Samsung SM-X916BZAAEUB 12 GB RAM 14,6 256 GB Pilka",1196.82,Samsung,,,"14.6 "" 37,1 cm",,,512,,
85,86,Planšetė Microsoft Surface Pro10 1TB (i7/64GB) Platin W11 PRO,2879.99,Microsoft,,,"10.9 "" 27,7 cm",,,128,,
86,87,Planšetė Doogee T20 Ultra LTE 12+256GB Mystery Pilkas,305.99,Doogee,,,12.4,,,256,,
87,88,"Planšetė Samsung S9 ultra 12 GB RAM 14,6 512 GB Pilka",1179.99,Samsung,,,11.0,,,128,,
88,89,"Samsung Planšetė Galaxy Tab S9 FE 10,9"" 128 GB 5G Graphite (SM-X516BZAAEEB)",769.99,Samsung,,,11.0,,,128,,
89,90,"Planšetė Samsung X820N Galaxy Tab S10+ Wi-Fi Moonstone Pilkas 12,4"" / Octa-Cora / 12GB RAM / 256GB Atmintis",1119.99,Samsung,1600 x 2560,"12,1""","12"" - 12,9",IPS 120Hz,,128 128,"0,571 0.94",
90,91,"Planšetė Samsung Galaxy Tab A9+ 5G, 128GB, 11 col., Pilkos spalvos",295.99,Samsung,,,10.4,,,128,,
91,92,"Planšetė Xiaomi Pad 6 11"" 6/128GB Wi-Fi (VHU4362EU), Pilkos spalvos",309.99,,1920 x 1200,"11""","10"" - 10,9",IPS 90Hz,,128 128 GB,"0,465 0.8",
92,93,"Planšetė Xiaomi Redmi | Pad Pro 5G | 12,1 colio | Grafito pilka | IPS LCD | 1600 x 2560 pikselių | Qualcomm | Snapdragon 7s Gen 2 | 6 GB | 128 GB | Wi-Fi | Priekinė kamera | 8 MP | Galinė kamera | 8 MP | Bluetooth | 5.2 | Android | 14",299.99,Xiaomi,1340x800,"8,7""","8"" - 8,9",TFT LCD 60Hz,,64 64,"0,332 0.51",
93,94,"Planšetė GALAXY TAB S6LITE 2024/10.4"" 128GB GRAY P620 SAMSUNG",279.99,Samsung,,11.0,11.0,IPS,,128.0 128,462.0,
94,95,"Planšetinis kompiuteris Lenovo Tab M11 11"" 4GB / 128GB Wi-Fi Luna Grey (ZADA0134SE), Pilka",179.99,Lenovo,,,11.0,,,64,,
95,96,"Planšetė Samsung Galaxy Tab A9 8.7"" 64GB Wi-Fi, SM-X110N, Graphite - planšetinis kompiuteris (Pažeista pakuotė)",137.99,Samsung,,,10.0,,,128,,
96,97,"Planšetė Apple iPad Air 11"" M2 Wi-Fi 128GB – violetinė",759.99,Apple,,,8.7,,,64,,
97,98,"Planšetė Samsung Galaxy Tab A9+ WIFI, 64GB, 11 col., Pilkos spalvos",189.99,,,,10.4,,,64,,
98,99,"Planšetė Lenovo Tab M10 Plus (3rd Gen) 10.6"" 4GB / 128GB Wi-Fi + LTE Storm Grey (ZAAN0125SE)",219.99,Lenovo,,"11,5",11.5,IPS,,128 128,"0,70000 520",Ne Ne
99,100,"Planšetė Samsung Galaxy Tab A9 LTE, 64GB, 8.7 col., Pilkos spalvos",155.99,Samsung,1280 x 800,"10,1""","10"" - 10,9",IPS,,64 64,"0,480 1",
100,101,Planšetė Samsung Galaxy Tab S6 Lite Wi-Fi (2022 Edition) Angora Mėlyna,258.77,,1920 x 1200,"10,5""","10"" - 10,9",IPS,,128 128,"0,500 0.993",
101,102,Planšetė Lenovo MPN,229.99,Lenovo,1920 x 1200,"11""","11"" - 11,9",IPS,,256 256 GB,"0,478 0.84",
102,103,eSTAR 10'' HERO Powerpuff Girls Planšetė 2GB/64GB eSTAR 10'' HERO Powerpuff Girls Planšetė 2GB/64GB,95,eStar,1600 x 2560,"12,1""","12"" - 12,9",IPS 120Hz,,256 256 GB,"0,571 0.94",
103,104,Planšetė BLOW PlatinumTAB11 4G planšetinis kompiuteris + dėklas,163.55,Blow,2032 x 3048,"12,4""","12"" - 12,9","IPS LCD, 68B colors, 144Hz, HDR10, Dolby Vision, 900 nits (peak)",,256 256,"0,590 0.69",
104,105,"Planšetė Redmi Pad SE 11"" 8GB / 256GB Wi-Fi, mėtų spalvos",198.90,Xiaomi,1200 x 2000,"10,4""","10"" - 10,9",TFT LCD,,64 64,"0,467 0.8",
105,106,Planšetė Xiaomi Redmi Pad Pro 8+256GB Graphite Pilkas,309.99,Xiaomi,1640 x 2360,"10,9""","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų",,256 256 GB,"0,477 0.896",
106,107,"Planšetinis kompiuteris Xiaomi Pad 6S Pro 12.4"" 8/256GB Wi-Fi Snapdragon 8 Gen 2 (4 nm), Grafito pilkos spalvos (VHU4704EU)",605.99,Xiaomi,2000 x 1200,"11,5""","11"" - 11,9",IPS,,128 128,"0,520 0.92",
107,108,"Planšetė GALAXY TAB S6LITE 10.4""/64GB WIFI GRAY P613 SAMSUNG",250.73,Samsung,,,12.7,,,128,,
108,109,"Planšetė Apple iPad 10,9"" Wi-Fi 256GB – Pink 10th Gen",562.75,Apple,,,8.7,,,128,,
109,110,"Planšetinis kompiuteris Lenovo TAB P11 2nd Gen 11.5"" 6/128GB Wi-Fi Storm Grey (TB350FU ZABF0355PL) + Lenovo Precision Pen 2 išmanus rašiklis",238.06,Lenovo,,,12.0,,,,1065 570,
110,111,"Planšetė Lenovo Tab P12 12.7"" 8 GB / 128GB Wi-Fi Storm Grey (ZACH0112SE) + Pen",310.89,,,,10.4,,,64,,
111,112,"Planšetė Samsung Galaxy Tab | A9 (X110) | 8.7 "" | Pilkas | TFT LCD | 800 x 1340 pikselių | Mediatek | Helio G99 (6nm) | 8 GB | 128 GB | Wi-Fi | Front camera | Rear camera | Bluetooth | 5.3 | Android | 13 | Garantija 24 mėn.",185.12,Samsung,,11,11.0,TFT,,64 64,"0,66400 480",
112,113,Planšetė Teclast T60 12 colių planšetinis kompiuteris 8/256 GB WIFI LTE (pilkas),229.99,Teclast,1280x800,"8.0""",8.0,IPS LCD,,64 64 GB,"6 kg 0,355 kg 0,3 kg 0,3 kg",
113,114,"Planšetė GALAXY TAB S6LITE 10.4""/64GB WIFI GRAY P613 SAMSUNG",289.99,,,11.0,11.0,Tandem OLED,,256.0 256,444.0,
114,115,"Planšetė Samsung | Galaxy Tab A9+ | X216 | 11 "" | Sidabrinis | TFT LCD | 1200 x 1920 pikselių | Qualcomm SM6375 | Snapdragon 695 5G | 4 GB | 64 GB | 3G | 4G | 5G | Wi-Fi | Priekinė kamera | 5 MP | Galinė kamera | 8 MP | Bluetooth | 5.1 |. Garantija 24 mėn.",221.68,Samsung,,,11.5,,,128,,
115,116,"Planšetė TAB50 KIDS 8"" 64GB/TAB50 KIDS PURPLE BLACKVIEW",87.99,Blackview,,,8'',,,32 32,421,Ne Ne
116,117,"Planšetė Apple iPad Pro 11"" M4 WiFi 256GB su standartiniu stiklu – Space Black",1169.43,Apple,1280 x 800,"10,1""","10"" - 10,9",IPS,,64 64,"0,533 1.243",
117,118,"Planšetė Lenovo Tab P11 (2nd Gen) 6 GB RAM 11,5 MediaTek Helio G99 Pilka 128 GB",286.42,Lenovo,,"12,4",12.4,Dinaminis AMOLED 2X,,256,"0,70000 571",
118,119,Planšetė Kruger & Matz FUN 808 raudonas planšetinis kompiuteris,71.99,Kruger & Matz,1920x1200,"11.0""",11.0,IPS LCD,,256 256 GB,"0,5 kg 0,5 kg 0,5 kg",
119,120,"Oukitel Planšetė OT6 Kids WiFi 4/64GB 8000 mAh 10.1"" violetinė",105.99,Oukitel,,,8.0,,,64,820 510,
120,121,"Planšetė GALAXY TAB S10+ 5G/12"" 256GB Pilkas SM-X826 SAMSUNG",1109.99,Samsung,,,11.5,,,256,,
121,122,"Planšetė TAB16 PRO 11"" 256GB LTE/TAB 16 PRO Mėlynas BLACKVIEW",168.70,Blackview,,"14,6",14.6,Dinaminis AMOLED 2X,,512,"0,80000 718",
122,123,Planšetė P85TKids Teclast tabletė rožinė,99.72,Teclast,,,11.0,,,128,,
123,124,"Planšetė Huawei MatePad 11,5"" S WiFi 8/256GB pilka + rysik",369.99,Huawei,1200 x 1920,"10,1""","10"" - 10,9",IPS,,64 64,"0,665 1",
124,125,Planšetė Samsung Galaxy Tab S10 Ultra X920B WiFi 14.6 12GB RAM 512GB - Pilkas,1139.99,Samsung,,11.0,11.0,IPS,,128.0 128,462.0,
125,126,"Planšetė Redmi Pad SE 11"" 4GB / 128GB Wi-Fi, mėtų spalvos (VHU4453EU)",165.99,,,11.0,11.0,IPS,,128.0 128,462.0,
126,127,"Planšetinis kompiuteris vaikams Blow KidsTAB10 4G, 4/64GB rožinės spalvos",126.99,Blow,1920 x 1200,"10,1""","10"" - 10,9",IPS,,64 64 GB,"0,460 0.75",
127,128,"Planšetė Apple iPad Air 11"" M2 Wi-Fi 128GB – mėlyna",759.99,Apple,,11.0 11 colių,11.0,IPS,,128.0 128,‎1 Grams 480 g 478.0,
128,129,"Planšetė Apple iPad Air 11"" M2 Wi-Fi 128GB – Starlight",759.99,Apple,1920 x 1200,"10,1""","10"" - 10,9",TFT,,64 64 GB,"0,674 0.7",
129,130,"Planšetė Lenovo Tab M10 (3rd Gen) 10.1"" 4/64GB Wi-Fi Storm Gray (ZAAE0050PL), Pilka",149.99,Lenovo,1600 x 2560,"11""","11"" - 11,9",Dinaminis AMOLED 2X 120Hz,,128 128,"0,498 0.86",
130,131,"Xiaomi Planšetė Redmi Pad SE (Grafito pilka) 11"" IPS LCD 1200x1920/2.4GHz&1.9GHz/128GB/4GB RAM/Android 13/Micro SDXC/WiFi,BT,VHU4448EU",159.99,Xiaomi,1340x800,"9,0""","9"" - 9,9''",IPS,,64 64 GB eMMC,"0,344 0.7",
131,132,"Planšetė SAMSUNG GALAXY TAB ACTIVE4 PRO 5G Juodas 64 GB(10,1"",IP86,S-PEN)",536.88,Samsung,,,7.0,,,16,,
132,133,"Planšetinis kompiuteris Samsung Galaxy Tab S9 11"" WiFi 128GB Graphite (SM-X710N)",685.99,Samsung,,,10.9,,,256,,
133,134,"Planšetė Lenovo Tab M9 9"" 4GB / 64GB Wi-Fi Grey (ZAC30194PL)",118.98,Lenovo,2000 x 1200,"11""","10"" - 10,9",IPS,,256 256,"0,539 1.24",
134,135,Planšetė Denver TAQ-70353K 7/16GB/1GB/WI-FI/ANDROID6/BLUE PINK,67.24,,,,10.9,,,256,,
135,136,"Planšetė Apple iPad 10,9"" Wi-Fi 256GB – sidabrinė 10 gen",649.99,,1640 x 2360,"10,9 colių 1640 x 2360 skystųjų tinklainių IPS","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų (tipas), tikro tono",,64 64 GB,"0,458 0.905",
136,137,"Planšetė TAB16 11"" 256GB LTE/TAB 16 Žalias BLACKVIEW",198.58,Blackview,2000 x 1200,"11""","10"" - 10,9",IPS,,256 256 GB,"0,539 1.245",
137,138,"Planšetė GALAXY TAB S9 FE 10.9""/256GB 5G MINT SM-X516 SAMSUNG",527.14,Samsung,,"8,7",8.7,TFT,,64 64,"0,49600 322",taip taip
